"Time","edge-server-cv-74d975f7cd-64tvg","edge-server-cv-74d975f7cd-xj7sb","Average"
2022-04-18 16:36:30,45.7,40.0,42.8
2022-04-18 16:36:45,56.0,55.8,55.9
2022-04-18 16:37:00,56.0,55.8,55.9
2022-04-18 16:37:15,61.2,51.6,56.4
2022-04-18 16:37:30,61.2,51.6,56.4
2022-04-18 16:37:45,58.3,42.8,50.6
2022-04-18 16:38:00,58.3,42.8,50.6
2022-04-18 16:38:15,45.2,51.3,48.2
2022-04-18 16:38:30,45.2,51.3,48.2
2022-04-18 16:38:45,62.4,51.2,56.8
2022-04-18 16:39:00,62.4,51.2,56.8
2022-04-18 16:39:15,66.2,55.1,60.7
2022-04-18 16:39:30,66.2,55.1,60.7
2022-04-18 16:39:45,41.3,39.5,40.4
2022-04-18 16:40:00,41.3,39.5,40.4
2022-04-18 16:40:15,53.5,51.7,52.6
2022-04-18 16:40:30,53.5,51.7,52.6
2022-04-18 16:40:45,50.3,57.7,54.0
2022-04-18 16:41:00,50.3,57.7,54.0
2022-04-18 16:41:15,57.7,36.3,47.0
2022-04-18 16:41:30,57.7,36.3,47.0
2022-04-18 16:41:45,52.5,45.2,48.9
2022-04-18 16:42:00,52.5,45.2,48.9
2022-04-18 16:42:15,56.5,43.5,50.0
2022-04-18 16:42:30,56.5,43.5,50.0
2022-04-18 16:42:45,58.8,40.1,49.4
2022-04-18 16:43:00,58.8,40.1,49.4
2022-04-18 16:43:15,54.6,40.5,47.6
2022-04-18 16:43:30,54.6,40.5,47.6
2022-04-18 16:43:45,59.3,50.4,54.8
2022-04-18 16:44:00,59.3,50.4,54.8
2022-04-18 16:44:15,42.3,50.4,46.4
2022-04-18 16:44:30,42.3,50.4,46.4
2022-04-18 16:44:45,54.9,60.7,57.8
2022-04-18 16:45:00,54.9,60.7,57.8
2022-04-18 16:45:15,41.2,34.0,37.6
2022-04-18 16:45:30,41.2,34.0,37.6
2022-04-18 16:45:45,55.9,48.3,52.1
2022-04-18 16:46:00,55.9,48.3,52.1
2022-04-18 16:46:15,56.2,45.6,50.9
2022-04-18 16:46:30,56.2,45.6,50.9
2022-04-18 16:46:45,47.4,58.7,53.1
2022-04-18 16:47:00,47.4,58.7,53.1
2022-04-18 16:47:15,46.2,48.2,47.2
2022-04-18 16:47:30,46.2,48.2,47.2
2022-04-18 16:47:45,62.8,42.2,52.5
2022-04-18 16:48:00,62.8,42.2,52.5
2022-04-18 16:48:15,50.9,49.5,50.2
2022-04-18 16:48:30,50.9,49.5,50.2
2022-04-18 16:48:45,51.5,42.6,47.1
2022-04-18 16:49:00,51.5,42.6,47.1
2022-04-18 16:49:15,62.4,37.8,50.1
2022-04-18 16:49:30,62.4,37.8,50.1
2022-04-18 16:49:45,63.4,42.9,53.2
2022-04-18 16:50:00,63.4,42.9,53.2
2022-04-18 16:50:15,49.9,58.6,54.2
