"Time","edge-server-cv-74d975f7cd-pvhxn","edge-server-cv-74d975f7cd-v2ct9","edge-server-cv-74d975f7cd-v8hnl","average"
2022-04-19 16:35:30,0.453,0.481,0.213,0.383
2022-04-19 16:35:45,0.400,0.560,0.589,0.516
2022-04-19 16:36:00,0.400,0.560,0.589,0.516
2022-04-19 16:36:15,0.496,0.374,0.445,0.438
2022-04-19 16:36:30,0.496,0.374,0.445,0.438
2022-04-19 16:36:45,0.565,0.369,0.495,0.477
2022-04-19 16:37:00,0.565,0.369,0.495,0.477
2022-04-19 16:37:15,0.532,0.370,0.433,0.445
2022-04-19 16:37:30,0.532,0.370,0.433,0.445
2022-04-19 16:37:45,0.394,0.485,0.246,0.375
2022-04-19 16:38:00,0.394,0.485,0.246,0.375
2022-04-19 16:38:15,0.335,0.462,0.696,0.498
2022-04-19 16:38:30,0.335,0.462,0.696,0.498
2022-04-19 16:38:45,0.333,0.441,0.468,0.414
2022-04-19 16:39:00,0.333,0.441,0.468,0.414
2022-04-19 16:39:15,0.574,0.509,0.285,0.456
2022-04-19 16:39:30,0.574,0.509,0.285,0.456
2022-04-19 16:39:45,0.502,0.426,0.551,0.493
2022-04-19 16:40:00,0.502,0.426,0.551,0.493
2022-04-19 16:40:15,0.476,0.525,0.352,0.451
2022-04-19 16:40:30,0.476,0.525,0.352,0.451
2022-04-19 16:40:45,0.567,0.534,0.544,0.548
2022-04-19 16:41:00,0.567,0.534,0.544,0.548
2022-04-19 16:41:15,0.204,0.509,0.583,0.432
2022-04-19 16:41:30,0.204,0.509,0.583,0.432
2022-04-19 16:41:45,0.622,0.445,0.500,0.522
2022-04-19 16:42:00,0.622,0.445,0.500,0.522
2022-04-19 16:42:15,0.436,0.459,0.437,0.444
2022-04-19 16:42:30,0.436,0.459,0.437,0.444
2022-04-19 16:42:45,0.491,0.501,0.454,0.482
2022-04-19 16:43:00,0.491,0.501,0.454,0.482
2022-04-19 16:43:15,0.375,0.390,0.495,0.420
2022-04-19 16:43:30,0.375,0.390,0.495,0.420
2022-04-19 16:43:45,0.374,0.635,0.533,0.514
2022-04-19 16:44:00,0.374,0.635,0.533,0.514
2022-04-19 16:44:15,0.470,0.492,0.543,0.501
2022-04-19 16:44:30,0.470,0.492,0.543,0.501
2022-04-19 16:44:45,0.497,0.479,0.456,0.478
2022-04-19 16:45:00,0.497,0.479,0.456,0.478
2022-04-19 16:45:15,0.454,0.506,0.425,0.461
2022-04-19 16:45:30,0.454,0.506,0.425,0.461
2022-04-19 16:45:45,0.550,0.274,0.460,0.428
2022-04-19 16:46:00,0.550,0.274,0.460,0.428
2022-04-19 16:46:15,0.460,0.562,0.777,0.600
2022-04-19 16:46:30,0.460,0.562,0.777,0.600
2022-04-19 16:46:45,0.437,0.613,0.155,0.402
2022-04-19 16:47:00,0.437,0.613,0.155,0.402
2022-04-19 16:47:15,0.787,0.591,0.569,0.649
2022-04-19 16:47:30,0.787,0.591,0.569,0.649
2022-04-19 16:47:45,0.638,0.195,0.503,0.445
2022-04-19 16:48:00,0.638,0.195,0.503,0.445
2022-04-19 16:48:15,0.629,0.621,0.417,0.555
2022-04-19 16:48:30,0.629,0.621,0.417,0.555
2022-04-19 16:48:45,0.691,0.541,0.674,0.635
2022-04-19 16:49:00,0.691,0.541,0.674,0.635
2022-04-19 16:49:15,0.341,0.479,0.454,0.425
2022-04-19 16:49:30,0.341,0.479,0.454,0.425
2022-04-19 16:49:45,0.487,0.254,0.506,0.416
2022-04-19 16:50:00,0.487,0.254,0.506,0.416
2022-04-19 16:50:15,0.657,0.545,0.589,0.597
