"Time","edge-server-cv-74d975f7cd-pvhxn 60s","edge-server-cv-74d975f7cd-v2ct9 60s","edge-server-cv-74d975f7cd-v8hnl 60s","average"
2022-04-19 16:35:30,0.639,0.964,0.108,0.570
2022-04-19 16:35:45,0.435,0.471,0.809,0.572
2022-04-19 16:36:00,0.435,0.471,0.809,0.572
2022-04-19 16:36:15,0.701,0.269,0.654,0.541
2022-04-19 16:36:30,0.701,0.269,0.654,0.541
2022-04-19 16:36:45,1.38,0.298,0.656,0.777
2022-04-19 16:37:00,1.38,0.298,0.656,0.777
2022-04-19 16:37:15,0.763,0.393,0.701,0.619
2022-04-19 16:37:30,0.763,0.393,0.701,0.619
2022-04-19 16:37:45,0.514,0.746,0.189,0.483
2022-04-19 16:38:00,0.514,0.746,0.189,0.483
2022-04-19 16:38:15,0.487,0.546,0.824,0.619
2022-04-19 16:38:30,0.487,0.546,0.824,0.619
2022-04-19 16:38:45,0.286,1.17,0.471,0.644
2022-04-19 16:39:00,0.286,1.17,0.471,0.644
2022-04-19 16:39:15,0.895,0.531,0.464,0.630
2022-04-19 16:39:30,0.895,0.531,0.464,0.630
2022-04-19 16:39:45,1.01,0.874,0.757,0.882
2022-04-19 16:40:00,1.01,0.874,0.757,0.882
2022-04-19 16:40:15,1.38,1.33,0.549,1.09
2022-04-19 16:40:30,1.38,1.33,0.549,1.09
2022-04-19 16:40:45,0.977,0.554,0.712,0.747
2022-04-19 16:41:00,0.977,0.554,0.712,0.747
2022-04-19 16:41:15,0.175,0.948,0.690,0.604
2022-04-19 16:41:30,0.175,0.948,0.690,0.604
2022-04-19 16:41:45,0.752,0.913,0.667,0.777
2022-04-19 16:42:00,0.752,0.913,0.667,0.777
2022-04-19 16:42:15,0.401,0.750,0.441,0.531
2022-04-19 16:42:30,0.401,0.750,0.441,0.531
2022-04-19 16:42:45,1.36,0.603,0.408,0.790
2022-04-19 16:43:00,1.36,0.603,0.408,0.790
2022-04-19 16:43:15,0.389,0.437,0.973,0.600
2022-04-19 16:43:30,0.389,0.437,0.973,0.600
2022-04-19 16:43:45,0.302,0.728,0.610,0.547
2022-04-19 16:44:00,0.302,0.728,0.610,0.547
2022-04-19 16:44:15,0.613,0.834,0.807,0.752
2022-04-19 16:44:30,0.613,0.834,0.807,0.752
2022-04-19 16:44:45,0.609,0.546,0.440,0.532
2022-04-19 16:45:00,0.609,0.546,0.440,0.532
2022-04-19 16:45:15,0.547,0.362,0.547,0.485
2022-04-19 16:45:30,0.547,0.362,0.547,0.485
2022-04-19 16:45:45,0.818,0.400,0.439,0.552
2022-04-19 16:46:00,0.818,0.400,0.439,0.552
2022-04-19 16:46:15,0.500,0.748,1.46,0.903
2022-04-19 16:46:30,0.500,0.748,1.46,0.903
2022-04-19 16:46:45,0.637,0.677,0.145,0.486
2022-04-19 16:47:00,0.637,0.677,0.145,0.486
2022-04-19 16:47:15,1.26,1.64,0.442,1.12
2022-04-19 16:47:30,1.26,1.64,0.442,1.12
2022-04-19 16:47:45,0.965,0.330,1.03,0.776
2022-04-19 16:48:00,0.965,0.330,1.03,0.776
2022-04-19 16:48:15,1.93,0.524,1.13,1.20
2022-04-19 16:48:30,1.93,0.524,1.13,1.20
2022-04-19 16:48:45,1.34,0.736,0.680,0.919
2022-04-19 16:49:00,1.34,0.736,0.680,0.919
2022-04-19 16:49:15,0.431,0.564,0.651,0.549
2022-04-19 16:49:30,0.431,0.564,0.651,0.549
2022-04-19 16:49:45,0.485,0.0650,0.822,0.457
2022-04-19 16:50:00,0.485,0.0650,0.822,0.457
2022-04-19 16:50:15,1.07,0.743,0.806,0.872
2022-04-19 16:50:30,1.07,0.743,0.806,0.872
2022-04-19 16:50:45,0.623,0.621,2.20,1.15
2022-04-19 16:51:00,0.623,0.621,2.20,1.15
2022-04-19 16:51:15,0.533,0.417,0.457,0.469
2022-04-19 16:51:30,0.533,0.417,0.457,0.469
2022-04-19 16:51:45,1.93,0.555,1.62,1.37
2022-04-19 16:52:00,1.93,0.555,1.62,1.37
2022-04-19 16:52:15,0.987,0.921,0.863,0.924
2022-04-19 16:52:30,0.987,0.921,0.863,0.924
2022-04-19 16:52:45,0.704,0.903,0.662,0.756
2022-04-19 16:53:00,0.704,0.903,0.662,0.756
2022-04-19 16:53:15,0.704,0.791,0.314,0.603
2022-04-19 16:53:30,0.704,0.791,0.314,0.603
2022-04-19 16:53:45,1.02,1.23,1.06,1.10
2022-04-19 16:54:00,1.02,1.23,1.06,1.10
2022-04-19 16:54:15,0.885,0.538,0.186,0.536
2022-04-19 16:54:30,0.885,0.538,0.186,0.536
2022-04-19 16:54:45,1.24,0.253,0.746,0.748
2022-04-19 16:55:00,1.24,0.253,0.746,0.748
2022-04-19 16:55:15,1.31,0.511,0.470,0.763
2022-04-19 16:55:30,1.31,0.511,0.470,0.763
2022-04-19 16:55:45,0.502,1.05,1.22,0.925
2022-04-19 16:56:00,0.502,1.05,1.22,0.925
2022-04-19 16:56:15,0.886,2.50,0.690,1.36
2022-04-19 16:56:30,0.886,2.50,0.690,1.36
2022-04-19 16:56:45,0.355,0.624,0.867,0.615
2022-04-19 16:57:00,0.355,0.624,0.867,0.615
2022-04-19 16:57:15,0.753,1.15,0.441,0.783
2022-04-19 16:57:30,0.753,1.15,0.441,0.783
2022-04-19 16:57:45,1.32,2.91,1.27,1.83
2022-04-19 16:58:00,1.32,2.91,1.27,1.83
2022-04-19 16:58:15,0.610,1.02,0.467,0.700
2022-04-19 16:58:30,0.610,1.02,0.467,0.700
2022-04-19 16:58:45,0.763,0.831,1.35,0.982
2022-04-19 16:59:00,0.763,0.831,1.35,0.982
2022-04-19 16:59:15,0.876,0.710,0.961,0.849
2022-04-19 16:59:30,0.876,0.710,0.961,0.849
2022-04-19 16:59:45,0.514,1.01,2.30,1.28
2022-04-19 17:00:00,0.514,1.01,2.30,1.28
2022-04-19 17:00:15,0.589,1.59,0.440,0.873
2022-04-19 17:00:30,0.589,1.59,0.440,0.873
2022-04-19 17:00:45,2.25,0.153,0.690,1.03
2022-04-19 17:01:00,2.25,0.153,0.690,1.03
2022-04-19 17:01:15,0.970,0.562,0.664,0.732
2022-04-19 17:01:30,0.970,0.562,0.664,0.732
2022-04-19 17:01:45,0.378,0.396,0.356,0.377
2022-04-19 17:02:00,0.378,0.396,0.356,0.377
2022-04-19 17:02:15,0.724,1.68,1.15,1.18
2022-04-19 17:02:30,0.724,1.68,1.15,1.18
2022-04-19 17:02:45,0.531,0.635,5.34,2.17
2022-04-19 17:03:00,0.531,0.635,5.34,2.17
2022-04-19 17:03:15,0.621,0.703,3.02,1.45
2022-04-19 17:03:30,0.621,0.703,3.02,1.45
2022-04-19 17:03:45,0.780,1.25,0.632,0.887
2022-04-19 17:04:00,0.780,1.25,0.632,0.887
2022-04-19 17:04:15,1.28,0.761,0.439,0.827
2022-04-19 17:04:30,1.28,0.761,0.439,0.827

