"Time","Average Request Rate","edge-server-cv-74d975f7cd-pvhxn Requests/2s","edge-server-cv-74d975f7cd-v2ct9 Requests/2s","edge-server-cv-74d975f7cd-v8hnl Requests/2s","avg_requests/30"
2022-04-19 16:35:34,1.33,2,0,2,3.41
2022-04-19 16:35:36,1.33,1,2,1,3.48
2022-04-19 16:35:38,0.333,0,1,0,3.48
2022-04-19 16:35:40,1.33,1,1,2,3.66
2022-04-19 16:35:42,1.67,1,4,0,3.86
2022-04-19 16:35:44,1.33,2,1,1,3.76
2022-04-19 16:35:46,1.67,2,2,1,3.83
2022-04-19 16:35:48,0.996,0,2,0.988,3.96
2022-04-19 16:35:50,2,4,2,0,4
2022-04-19 16:35:52,1.33,2,1,1,4.14
2022-04-19 16:35:54,0.667,0,1,1,3.93
2022-04-19 16:35:56,0,0,0,0,3.79
2022-04-19 16:35:58,2,2,1,3,3.72
2022-04-19 16:36:00,1.67,1,1,3,3.83
2022-04-19 16:36:02,2,2,0,4,3.83
2022-04-19 16:36:04,1,0,1,2,4
2022-04-19 16:36:06,1.67,4,1,0,3.90
2022-04-19 16:36:08,1,0,2,1,4.10
2022-04-19 16:36:10,1,0,0,3,3.90
2022-04-19 16:36:12,1,1,2,0,3.86
2022-04-19 16:36:14,0.667,1,0,1,3.72
2022-04-19 16:36:16,1.67,1,1,3,3.59
2022-04-19 16:36:18,2,3,1,2,3.55
2022-04-19 16:36:20,1.67,2,2,1,3.52
2022-04-19 16:36:22,0.334,1.00,0,0,3.38
2022-04-19 16:36:24,0.667,2,0,0,3.34
2022-04-19 16:36:26,0.333,1,0,0,3.41
2022-04-19 16:36:28,2,5,0,1,3.41
2022-04-19 16:36:30,0.998,0,1,1.99,3.41
2022-04-19 16:36:32,2.67,4,0,4,3.31
2022-04-19 16:36:34,2,4,1,1,3.41
2022-04-19 16:36:36,1,1,1,1,3.17
2022-04-19 16:36:38,1.33,1,1,2,3.34
2022-04-19 16:36:40,2,3,1,2,3.62
2022-04-19 16:36:42,0.667,2,0,0,3.62
2022-04-19 16:36:44,1,2,1,0,3.72
2022-04-19 16:36:46,1.33,2,2,0,3.79
2022-04-19 16:36:48,1.67,4,0,1,3.72
2022-04-19 16:36:50,1.33,2,1,1,3.86
2022-04-19 16:36:52,2,0,1,5,4.10
2022-04-19 16:36:54,0.667,2,0,0,4.17
2022-04-19 16:36:56,0.667,1,0,1,4.21
2022-04-19 16:36:58,0.667,1,1,0,4.17
2022-04-19 16:37:00,2,3,2,1,4.24
2022-04-19 16:37:02,1.33,1,1,2,4.14
2022-04-19 16:37:04,0.667,0,1,1,4
2022-04-19 16:37:06,1,0,2,1,4.03
2022-04-19 16:37:08,0.333,0,1,0,3.90
2022-04-19 16:37:10,1,1,1,1,3.90
2022-04-19 16:37:12,1.67,3,0,2,4.03
2022-04-19 16:37:14,1,1,0,2,4.03
