"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-pvhxn Memory Usage","edge-server-cv-74d975f7cd-v2ct9 Memory Usage","edge-server-cv-74d975f7cd-v8hnl Memory Usage"
2022-04-19 16:35:30,2496094208,832031403,887291904,916688896,692113408
2022-04-19 16:35:45,2709082112,903027371,913477632,968712192,826892288
2022-04-19 16:36:00,2709082112,903027371,913477632,968712192,826892288
2022-04-19 16:36:15,3265601536,1088533845,896217088,1270255616,1099128832
2022-04-19 16:36:30,3265601536,1088533845,896217088,1270255616,1099128832
2022-04-19 16:36:45,2880655360,960218453,1069043712,828633088,982978560
2022-04-19 16:37:00,2880655360,960218453,1069043712,828633088,982978560
2022-04-19 16:37:15,3617710080,1205903360,1127317504,1241284608,1249107968
2022-04-19 16:37:30,3617710080,1205903360,1127317504,1241284608,1249107968
2022-04-19 16:37:45,2936782848,978927616,899735552,954511360,1082535936
2022-04-19 16:38:00,2936782848,978927616,899735552,954511360,1082535936
2022-04-19 16:38:15,3074220032,1024740011,974422016,1038143488,1061654528
2022-04-19 16:38:30,3074220032,1024740011,974422016,1038143488,1061654528
2022-04-19 16:38:45,3592687616,1197562539,1342390272,1145610240,1104687104
2022-04-19 16:39:00,3592687616,1197562539,1342390272,1145610240,1104687104
2022-04-19 16:39:15,3553660928,1184553643,1201172480,1099264000,1253224448
2022-04-19 16:39:30,3553660928,1184553643,1201172480,1099264000,1253224448
2022-04-19 16:39:45,3136208896,1045402965,1103134720,833314816,1199759360
2022-04-19 16:40:00,3136208896,1045402965,1103134720,833314816,1199759360
2022-04-19 16:40:15,2325168128,775056043,592064512,891703296,841400320
2022-04-19 16:40:30,2325168128,775056043,592064512,891703296,841400320
2022-04-19 16:40:45,3335921664,1111973888,876814336,1153867776,1305239552
2022-04-19 16:41:00,3335921664,1111973888,876814336,1153867776,1305239552
2022-04-19 16:41:15,3115741184,1038580395,613515264,982581248,1519644672
2022-04-19 16:41:30,3115741184,1038580395,613515264,982581248,1519644672
2022-04-19 16:41:45,3062927360,1020975787,867618816,1287692288,907616256
2022-04-19 16:42:00,3062927360,1020975787,867618816,1287692288,907616256
2022-04-19 16:42:15,3115667456,1038555819,704499712,1152532480,1258635264
2022-04-19 16:42:30,3115667456,1038555819,704499712,1152532480,1258635264
2022-04-19 16:42:45,2906595328,968865109,992890880,1099517952,814186496
2022-04-19 16:43:00,2906595328,968865109,992890880,1099517952,814186496
2022-04-19 16:43:15,3197767680,1065922560,954916864,1020141568,1222709248
2022-04-19 16:43:30,3197767680,1065922560,954916864,1020141568,1222709248
2022-04-19 16:43:45,2983366656,994455552,1007120384,922763264,1053483008
2022-04-19 16:44:00,2983366656,994455552,1007120384,922763264,1053483008
2022-04-19 16:44:15,2575142912,858380971,734076928,900788224,940277760
2022-04-19 16:44:30,2575142912,858380971,734076928,900788224,940277760
2022-04-19 16:44:45,2396196864,798732288,868388864,574451712,953356288
2022-04-19 16:45:00,2396196864,798732288,868388864,574451712,953356288
2022-04-19 16:45:15,3045867520,1015289173,943263744,968704000,1133899776
2022-04-19 16:45:30,3045867520,1015289173,943263744,968704000,1133899776
2022-04-19 16:45:45,3218018304,1072672768,1009250304,1079713792,1129054208
2022-04-19 16:46:00,3218018304,1072672768,1009250304,1079713792,1129054208
2022-04-19 16:46:15,2795716608,931905536,1103904768,894939136,796872704
2022-04-19 16:46:30,2795716608,931905536,1103904768,894939136,796872704
2022-04-19 16:46:45,2419097600,806365867,875184128,835055616,708857856
2022-04-19 16:47:00,2419097600,806365867,875184128,835055616,708857856
2022-04-19 16:47:15,2916929536,972309845,970428416,1221844992,724656128
2022-04-19 16:47:30,2916929536,972309845,970428416,1221844992,724656128
2022-04-19 16:47:45,2958614528,986204843,1065648128,824782848,1068183552
2022-04-19 16:48:00,2958614528,986204843,1065648128,824782848,1068183552
2022-04-19 16:48:15,2836951040,945650347,929652736,867045376,1040252928
2022-04-19 16:48:30,2836951040,945650347,929652736,867045376,1040252928
2022-04-19 16:48:45,3151118336,1050372779,1122004992,866115584,1162997760
2022-04-19 16:49:00,3151118336,1050372779,1122004992,866115584,1162997760
2022-04-19 16:49:15,3112648704,1037549568,1048510464,757305344,1306832896
2022-04-19 16:49:30,3112648704,1037549568,1048510464,757305344,1306832896
2022-04-19 16:49:45,3341963264,1113987755,1112739840,1347837952,881385472
2022-04-19 16:50:00,3341963264,1113987755,1112739840,1347837952,881385472
2022-04-19 16:50:15,3155841024,1051947008,1231454208,702189568,1222197248
2022-04-19 16:50:30,3155841024,1051947008,1231454208,702189568,1222197248
2022-04-19 16:50:45,2750107648,916702549,772349952,904306688,1073451008
2022-04-19 16:51:00,2750107648,916702549,772349952,904306688,1073451008
2022-04-19 16:51:15,2781237248,927079083,1120010240,612417536,1048809472
2022-04-19 16:51:30,2781237248,927079083,1120010240,612417536,1048809472
2022-04-19 16:51:45,3177103360,1059034453,949755904,1106759680,1120587776
2022-04-19 16:52:00,3177103360,1059034453,949755904,1106759680,1120587776
2022-04-19 16:52:15,2988924928,996308309,993468416,1084674048,910782464
