"Time","Average Response Rate","edge-server-cv-74d975f7cd-pvhxn Response","edge-server-cv-74d975f7cd-v2ct9 Response","edge-server-cv-74d975f7cd-v8hnl Response"
2022-04-19 16:35:34,508 ms,722 ms,390 ms,410 ms
2022-04-19 16:35:36,437 ms,467 ms,377 ms,467 ms
2022-04-19 16:35:38,507 ms,537 ms,343 ms,641 ms
2022-04-19 16:35:40,468 ms,586 ms,305 ms,514 ms
2022-04-19 16:35:42,535 ms,640 ms,352 ms,613 ms
2022-04-19 16:35:44,537 ms,610 ms,345 ms,655 ms
2022-04-19 16:35:46,479 ms,611 ms,407 ms,418 ms
2022-04-19 16:35:48,512 ms,615 ms,482 ms,438 ms
2022-04-19 16:35:50,448 ms,487 ms,468 ms,390 ms
2022-04-19 16:35:52,445 ms,487 ms,477 ms,370 ms
2022-04-19 16:35:54,442 ms,476 ms,465 ms,384 ms
2022-04-19 16:35:56,369 ms,448 ms,317 ms,342 ms
2022-04-19 16:35:58,513 ms,434 ms,274 ms,830 ms
2022-04-19 16:36:00,528 ms,265 ms,266 ms,1.05 s
2022-04-19 16:36:02,515 ms,295 ms,266 ms,984 ms
2022-04-19 16:36:04,497 ms,319 ms,259 ms,912 ms
2022-04-19 16:36:06,595 ms,625 ms,283 ms,876 ms
2022-04-19 16:36:08,575 ms,619 ms,328 ms,777 ms
2022-04-19 16:36:10,549 ms,652 ms,330 ms,664 ms
2022-04-19 16:36:12,567 ms,680 ms,427 ms,594 ms
2022-04-19 16:36:14,577 ms,611 ms,448 ms,672 ms
2022-04-19 16:36:16,447 ms,358 ms,423 ms,560 ms
2022-04-19 16:36:18,439 ms,376 ms,458 ms,484 ms
2022-04-19 16:36:20,384 ms,355 ms,378 ms,420 ms
2022-04-19 16:36:22,331 ms,348 ms,246 ms,399 ms
2022-04-19 16:36:24,340 ms,382 ms,247 ms,392 ms
2022-04-19 16:36:26,328 ms,409 ms,239 ms,336 ms
2022-04-19 16:36:28,528 ms,1.03 s,267 ms,287 ms
2022-04-19 16:36:30,673 ms,1.23 s,308 ms,483 ms
2022-04-19 16:36:32,939 ms,1.78 s,300 ms,740 ms
2022-04-19 16:36:34,912 ms,1.75 s,297 ms,685 ms
2022-04-19 16:36:36,877 ms,1.69 s,297 ms,645 ms
2022-04-19 16:36:38,754 ms,1.40 s,280 ms,584 ms
2022-04-19 16:36:40,622 ms,1.12 s,267 ms,483 ms
2022-04-19 16:36:42,400 ms,539 ms,266 ms,395 ms
2022-04-19 16:36:44,338 ms,350 ms,261 ms,402 ms
2022-04-19 16:36:46,373 ms,400 ms,310 ms,408 ms
2022-04-19 16:36:48,414 ms,640 ms,340 ms,263 ms
2022-04-19 16:36:50,492 ms,712 ms,357 ms,408 ms
2022-04-19 16:36:52,782 ms,739 ms,442 ms,1.16 s
2022-04-19 16:36:54,784 ms,720 ms,449 ms,1.18 s
2022-04-19 16:36:56,750 ms,705 ms,436 ms,1.11 s
2022-04-19 16:36:58,716 ms,572 ms,457 ms,1.12 s
2022-04-19 16:37:00,650 ms,651 ms,359 ms,941 ms
2022-04-19 16:37:02,429 ms,621 ms,335 ms,332 ms
2022-04-19 16:37:04,446 ms,679 ms,327 ms,332 ms
2022-04-19 16:37:06,467 ms,539 ms,563 ms,299 ms
2022-04-19 16:37:08,428 ms,310 ms,560 ms,415 ms
2022-04-19 16:37:10,498 ms,258 ms,691 ms,544 ms
2022-04-19 16:37:12,698 ms,658 ms,907 ms,528 ms
2022-04-19 16:37:14,640 ms,579 ms,760 ms,582 ms
2022-04-19 16:37:16,696 ms,623 ms,933 ms,534 ms
2022-04-19 16:37:18,633 ms,614 ms,933 ms,351 ms
2022-04-19 16:37:20,505 ms,532 ms,621 ms,361 ms
2022-04-19 16:37:22,459 ms,429 ms,637 ms,312 ms
2022-04-19 16:37:24,472 ms,406 ms,636 ms,374 ms
2022-04-19 16:37:26,421 ms,329 ms,597 ms,337 ms
