"Time","Average"
2022-04-19 16:35:30,38.3
2022-04-19 16:35:45,51.6
2022-04-19 16:36:00,51.6
2022-04-19 16:36:15,43.8
2022-04-19 16:36:30,43.8
2022-04-19 16:36:45,47.7
2022-04-19 16:37:00,47.7
2022-04-19 16:37:15,44.5
2022-04-19 16:37:30,44.5
2022-04-19 16:37:45,37.5
2022-04-19 16:38:00,37.5
2022-04-19 16:38:15,49.8
2022-04-19 16:38:30,49.8
2022-04-19 16:38:45,41.4
2022-04-19 16:39:00,41.4
2022-04-19 16:39:15,45.6
2022-04-19 16:39:30,45.6
2022-04-19 16:39:45,49.3
2022-04-19 16:40:00,49.3
2022-04-19 16:40:15,45.1
2022-04-19 16:40:30,45.1
2022-04-19 16:40:45,54.8
2022-04-19 16:41:00,54.8
2022-04-19 16:41:15,43.2
2022-04-19 16:41:30,43.2
2022-04-19 16:41:45,52.2
2022-04-19 16:42:00,52.2
2022-04-19 16:42:15,44.4
2022-04-19 16:42:30,44.4
2022-04-19 16:42:45,48.2
2022-04-19 16:43:00,48.2
2022-04-19 16:43:15,42.0
2022-04-19 16:43:30,42.0
2022-04-19 16:43:45,51.4
2022-04-19 16:44:00,51.4
2022-04-19 16:44:15,50.1
2022-04-19 16:44:30,50.1
2022-04-19 16:44:45,47.8
2022-04-19 16:45:00,47.8
2022-04-19 16:45:15,46.1
2022-04-19 16:45:30,46.1
2022-04-19 16:45:45,42.8
2022-04-19 16:46:00,42.8
2022-04-19 16:46:15,60.0
2022-04-19 16:46:30,60.0
2022-04-19 16:46:45,40.2
2022-04-19 16:47:00,40.2
2022-04-19 16:47:15,64.9
2022-04-19 16:47:30,64.9
2022-04-19 16:47:45,44.5
2022-04-19 16:48:00,44.5
2022-04-19 16:48:15,55.5
2022-04-19 16:48:30,55.5
2022-04-19 16:48:45,63.5
2022-04-19 16:49:00,63.5
2022-04-19 16:49:15,42.5
2022-04-19 16:49:30,42.5
2022-04-19 16:49:45,41.6
2022-04-19 16:50:00,41.6
2022-04-19 16:50:15,59.7
2022-04-19 16:50:30,59.7
2022-04-19 16:50:45,52.9
2022-04-19 16:51:00,52.9
2022-04-19 16:51:15,43.4
2022-04-19 16:51:30,43.4
2022-04-19 16:51:45,67.8
2022-04-19 16:52:00,67.8
2022-04-19 16:52:15,57.5
2022-04-19 16:52:30,57.5
2022-04-19 16:52:45,50.6
2022-04-19 16:53:00,50.6
2022-04-19 16:53:15,46.2
2022-04-19 16:53:30,46.2
2022-04-19 16:53:45,58.2
2022-04-19 16:54:00,58.2
2022-04-19 16:54:15,49.7
2022-04-19 16:54:30,49.7
2022-04-19 16:54:45,41.6
2022-04-19 16:55:00,41.6
2022-04-19 16:55:15,49.2
2022-04-19 16:55:30,49.2
2022-04-19 16:55:45,61.4
2022-04-19 16:56:00,61.4
2022-04-19 16:56:15,55.8
2022-04-19 16:56:30,55.8
2022-04-19 16:56:45,54.9
2022-04-19 16:57:00,54.9
2022-04-19 16:57:15,46.5
2022-04-19 16:57:30,46.5
2022-04-19 16:57:45,66.9
2022-04-19 16:58:00,66.9
2022-04-19 16:58:15,55.1
2022-04-19 16:58:30,55.1
2022-04-19 16:58:45,56.0
2022-04-19 16:59:00,56.0
2022-04-19 16:59:15,50.6
2022-04-19 16:59:30,50.6
2022-04-19 16:59:45,57.2
2022-04-19 17:00:00,57.2
2022-04-19 17:00:15,56.1
2022-04-19 17:00:30,56.1
2022-04-19 17:00:45,44.1
2022-04-19 17:01:00,44.1
2022-04-19 17:01:15,60.9
2022-04-19 17:01:30,60.9
2022-04-19 17:01:45,40.0
2022-04-19 17:02:00,40.0
2022-04-19 17:02:15,66.9
2022-04-19 17:02:30,66.9
2022-04-19 17:02:45,63.5
2022-04-19 17:03:00,63.5
2022-04-19 17:03:15,58.7
2022-04-19 17:03:30,58.7
2022-04-19 17:03:45,60.6
2022-04-19 17:04:00,60.6
2022-04-19 17:04:15,51.0
2022-04-19 17:04:30,51.0

