"Time","edge-server-cv-74d975f7cd-pvhxn","edge-server-cv-74d975f7cd-v2ct9","edge-server-cv-74d975f7cd-v8hnl","Average"
2022-04-19 16:35:30,42.3,43.7,33.0,39.7
2022-04-19 16:35:45,43.6,46.2,39.4,43.1
2022-04-19 16:36:00,43.6,46.2,39.4,43.1
2022-04-19 16:36:15,42.7,60.6,52.4,51.9
2022-04-19 16:36:30,42.7,60.6,52.4,51.9
2022-04-19 16:36:45,51.0,39.5,46.9,45.8
2022-04-19 16:37:00,51.0,39.5,46.9,45.8
2022-04-19 16:37:15,53.8,59.2,59.6,57.5
2022-04-19 16:37:30,53.8,59.2,59.6,57.5
2022-04-19 16:37:45,42.9,45.5,51.6,46.7
2022-04-19 16:38:00,42.9,45.5,51.6,46.7
2022-04-19 16:38:15,46.5,49.5,50.6,48.9
2022-04-19 16:38:30,46.5,49.5,50.6,48.9
2022-04-19 16:38:45,64.0,54.6,52.7,57.1
2022-04-19 16:39:00,64.0,54.6,52.7,57.1
2022-04-19 16:39:15,57.3,52.4,59.8,56.5
2022-04-19 16:39:30,57.3,52.4,59.8,56.5
2022-04-19 16:39:45,52.6,39.7,57.2,49.8
2022-04-19 16:40:00,52.6,39.7,57.2,49.8
2022-04-19 16:40:15,28.2,42.5,40.1,37.0
2022-04-19 16:40:30,28.2,42.5,40.1,37.0
2022-04-19 16:40:45,41.8,55.0,62.2,53.0
2022-04-19 16:41:00,41.8,55.0,62.2,53.0
2022-04-19 16:41:15,29.3,46.9,72.5,49.5
2022-04-19 16:41:30,29.3,46.9,72.5,49.5
2022-04-19 16:41:45,41.4,61.4,43.3,48.7
2022-04-19 16:42:00,41.4,61.4,43.3,48.7
2022-04-19 16:42:15,33.6,55.0,60.0,49.5
2022-04-19 16:42:30,33.6,55.0,60.0,49.5
2022-04-19 16:42:45,47.3,52.4,38.8,46.2
2022-04-19 16:43:00,47.3,52.4,38.8,46.2
2022-04-19 16:43:15,45.5,48.6,58.3,50.8
2022-04-19 16:43:30,45.5,48.6,58.3,50.8
2022-04-19 16:43:45,48.0,44.0,50.2,47.4
2022-04-19 16:44:00,48.0,44.0,50.2,47.4
2022-04-19 16:44:15,35.0,43.0,44.8,40.9
2022-04-19 16:44:30,35.0,43.0,44.8,40.9
2022-04-19 16:44:45,41.4,27.4,45.5,38.1
2022-04-19 16:45:00,41.4,27.4,45.5,38.1
2022-04-19 16:45:15,45.0,46.2,54.1,48.4
2022-04-19 16:45:30,45.0,46.2,54.1,48.4
2022-04-19 16:45:45,48.1,51.5,53.8,51.1
2022-04-19 16:46:00,48.1,51.5,53.8,51.1
2022-04-19 16:46:15,52.6,42.7,38.0,44.4
2022-04-19 16:46:30,52.6,42.7,38.0,44.4
2022-04-19 16:46:45,41.7,39.8,33.8,38.5
2022-04-19 16:47:00,41.7,39.8,33.8,38.5
2022-04-19 16:47:15,46.3,58.3,34.6,46.4
2022-04-19 16:47:30,46.3,58.3,34.6,46.4
2022-04-19 16:47:45,50.8,39.3,50.9,47.0
2022-04-19 16:48:00,50.8,39.3,50.9,47.0
2022-04-19 16:48:15,44.3,41.3,49.6,45.1
2022-04-19 16:48:30,44.3,41.3,49.6,45.1
2022-04-19 16:48:45,53.5,41.3,55.5,50.1
2022-04-19 16:49:00,53.5,41.3,55.5,50.1
2022-04-19 16:49:15,50.0,36.1,62.3,49.5
2022-04-19 16:49:30,50.0,36.1,62.3,49.5
2022-04-19 16:49:45,53.1,64.3,42.0,53.1
2022-04-19 16:50:00,53.1,64.3,42.0,53.1
2022-04-19 16:50:15,58.7,33.5,58.3,50.2
2022-04-19 16:50:30,58.7,33.5,58.3,50.2
2022-04-19 16:50:45,36.8,43.1,51.2,43.7
2022-04-19 16:51:00,36.8,43.1,51.2,43.7
2022-04-19 16:51:15,53.4,29.2,50.0,44.2
2022-04-19 16:51:30,53.4,29.2,50.0,44.2
2022-04-19 16:51:45,45.3,52.8,53.4,50.5
2022-04-19 16:52:00,45.3,52.8,53.4,50.5
2022-04-19 16:52:15,47.4,51.7,43.4,47.5
2022-04-19 16:52:30,47.4,51.7,43.4,47.5
2022-04-19 16:52:45,55.5,45.3,59.8,53.5
2022-04-19 16:53:00,55.5,45.3,59.8,53.5
2022-04-19 16:53:15,70.4,36.3,59.2,55.3
2022-04-19 16:53:30,70.4,36.3,59.2,55.3
2022-04-19 16:53:45,31.2,32.7,47.1,37.0
2022-04-19 16:54:00,31.2,32.7,47.1,37.0
2022-04-19 16:54:15,46.2,42.8,45.7,44.9
2022-04-19 16:54:30,46.2,42.8,45.7,44.9
2022-04-19 16:54:45,61.1,47.0,54.0,54.0
2022-04-19 16:55:00,61.1,47.0,54.0,54.0
2022-04-19 16:55:15,46.2,39.4,59.9,48.5
2022-04-19 16:55:30,46.2,39.4,59.9,48.5
2022-04-19 16:55:45,51.8,42.6,24.2,39.6
2022-04-19 16:56:00,51.8,42.6,24.2,39.6
2022-04-19 16:56:15,35.6,54.9,27.8,39.5
2022-04-19 16:56:30,35.6,54.9,27.8,39.5
2022-04-19 16:56:45,44.8,56.8,38.8,46.8
2022-04-19 16:57:00,44.8,56.8,38.8,46.8
2022-04-19 16:57:15,55.0,61.7,57.1,57.9
2022-04-19 16:57:30,55.0,61.7,57.1,57.9
2022-04-19 16:57:45,42.3,47.0,35.9,41.7
2022-04-19 16:58:00,42.3,47.0,35.9,41.7
2022-04-19 16:58:15,55.5,48.0,57.4,53.6
2022-04-19 16:58:30,55.5,48.0,57.4,53.6
2022-04-19 16:58:45,41.9,44.7,54.8,47.1
2022-04-19 16:59:00,41.9,44.7,54.8,47.1
2022-04-19 16:59:15,41.5,43.7,32.7,39.3
2022-04-19 16:59:30,41.5,43.7,32.7,39.3
2022-04-19 16:59:45,46.1,54.2,42.0,47.4
2022-04-19 17:00:00,46.1,54.2,42.0,47.4
2022-04-19 17:00:15,51.5,48.6,38.2,46.1
2022-04-19 17:00:30,51.5,48.6,38.2,46.1
2022-04-19 17:00:45,37.3,53.9,50.3,47.2
2022-04-19 17:01:00,37.3,53.9,50.3,47.2
2022-04-19 17:01:15,46.5,52.3,48.5,49.1
2022-04-19 17:01:30,46.5,52.3,48.5,49.1
2022-04-19 17:01:45,38.9,75.6,42.4,52.3
2022-04-19 17:02:00,38.9,75.6,42.4,52.3
2022-04-19 17:02:15,51.4,31.4,48.8,43.9
2022-04-19 17:02:30,51.4,31.4,48.8,43.9
2022-04-19 17:02:45,43.7,41.7,46.2,43.9
2022-04-19 17:03:00,43.7,41.7,46.2,43.9
2022-04-19 17:03:15,45.0,49.9,36.5,43.8
2022-04-19 17:03:30,45.0,49.9,36.5,43.8
2022-04-19 17:03:45,54.6,70.1,52.6,59.1
2022-04-19 17:04:00,54.6,70.1,52.6,59.1
2022-04-19 17:04:15,40.0,43.0,52.1,45.0
2022-04-19 17:04:30,40.0,43.0,52.1,45.0

