"Time","edge-server-cv-74d975f7cd-z798l","edge-server-cv-74d975f7cd-bbbwx","edge-server-cv-74d975f7cd-gw56j","average"
2022-04-19 16:01:00,0.104,0.201,0.154,0.153
2022-04-19 16:01:15,0.151,0.196,0.127,0.158
2022-04-19 16:01:30,0.151,0.196,0.127,0.158
2022-04-19 16:01:45,0.221,0.251,0.241,0.238
2022-04-19 16:02:00,0.221,0.251,0.241,0.238
2022-04-19 16:02:15,0.279,0.223,0.168,0.223
2022-04-19 16:02:30,0.279,0.223,0.168,0.223
2022-04-19 16:02:45,0.269,0.0659,0.138,0.157
2022-04-19 16:03:00,0.269,0.0659,0.138,0.157
2022-04-19 16:03:15,0.253,0.213,0.266,0.244
2022-04-19 16:03:30,0.253,0.213,0.266,0.244
2022-04-19 16:03:45,0.137,0.180,0.190,0.169
2022-04-19 16:04:00,0.137,0.180,0.190,0.169
2022-04-19 16:04:15,0.257,0.119,0.212,0.196
2022-04-19 16:04:30,0.257,0.119,0.212,0.196
2022-04-19 16:04:45,0.172,0.143,0.183,0.166
2022-04-19 16:05:00,0.172,0.143,0.183,0.166
2022-04-19 16:05:15,0.189,0.246,0.242,0.226
2022-04-19 16:05:30,0.189,0.246,0.242,0.226
2022-04-19 16:05:45,0.266,0.216,0.177,0.220
2022-04-19 16:06:00,0.266,0.216,0.177,0.220
2022-04-19 16:06:15,0.209,0.177,0.157,0.181
2022-04-19 16:06:30,0.209,0.177,0.157,0.181
2022-04-19 16:06:45,0.0876,0.252,0.179,0.173
2022-04-19 16:07:00,0.0876,0.252,0.179,0.173
2022-04-19 16:07:15,0.284,0.121,0.240,0.215
2022-04-19 16:07:30,0.284,0.121,0.240,0.215
2022-04-19 16:07:45,0.220,0.194,0.0757,0.163
2022-04-19 16:08:00,0.220,0.194,0.0757,0.163
2022-04-19 16:08:15,0.195,0.299,0.212,0.235
2022-04-19 16:08:30,0.195,0.299,0.212,0.235
2022-04-19 16:08:45,0.192,0.0918,0.246,0.177
2022-04-19 16:09:00,0.192,0.0918,0.246,0.177
2022-04-19 16:09:15,0.162,0.175,0.273,0.203
2022-04-19 16:09:30,0.162,0.175,0.273,0.203
2022-04-19 16:09:45,0.192,0.220,0.128,0.180
2022-04-19 16:10:00,0.192,0.220,0.128,0.180
2022-04-19 16:10:15,0.0749,0.340,0.280,0.231
2022-04-19 16:10:30,0.0749,0.340,0.280,0.231
2022-04-19 16:10:45,0.317,0.286,0.273,0.292
2022-04-19 16:11:00,0.317,0.286,0.273,0.292
2022-04-19 16:11:15,0.225,0.153,0.0660,0.148
2022-04-19 16:11:30,0.225,0.153,0.0660,0.148
2022-04-19 16:11:45,0.178,0.301,0.289,0.256
2022-04-19 16:12:00,0.178,0.301,0.289,0.256
2022-04-19 16:12:15,0.184,0.155,0.237,0.192
2022-04-19 16:12:30,0.184,0.155,0.237,0.192
2022-04-19 16:12:45,0.253,0.273,0.212,0.246
2022-04-19 16:13:00,0.253,0.273,0.212,0.246
2022-04-19 16:13:15,0.252,0.167,0.203,0.207
2022-04-19 16:13:30,0.252,0.167,0.203,0.207
2022-04-19 16:13:45,0.176,0.240,0.144,0.186
2022-04-19 16:14:00,0.176,0.240,0.144,0.186
2022-04-19 16:14:15,0.194,0.208,0.256,0.219
2022-04-19 16:14:30,0.194,0.208,0.256,0.219
2022-04-19 16:14:45,0.247,0.225,0.251,0.241
2022-04-19 16:15:00,0.247,0.225,0.251,0.241
2022-04-19 16:15:15,0.324,0.0786,0.228,0.210
2022-04-19 16:15:30,0.324,0.0786,0.228,0.210
2022-04-19 16:15:45,0.231,0.244,0.190,0.222
2022-04-19 16:16:00,0.231,0.244,0.190,0.222
2022-04-19 16:16:15,0.199,0.208,0.256,0.221
2022-04-19 16:16:30,0.199,0.208,0.256,0.221
2022-04-19 16:16:45,0.153,0.339,0.181,0.224
2022-04-19 16:17:00,0.153,0.339,0.181,0.224
2022-04-19 16:17:15,0.289,0.247,0.199,0.245
2022-04-19 16:17:30,0.289,0.247,0.199,0.245
2022-04-19 16:17:45,0.188,0.188,0.229,0.202
2022-04-19 16:18:00,0.188,0.188,0.229,0.202
2022-04-19 16:18:15,0.227,0.161,0.214,0.201
2022-04-19 16:18:30,0.227,0.161,0.214,0.201
2022-04-19 16:18:45,0.294,0.319,0.234,0.282
2022-04-19 16:19:00,0.294,0.319,0.234,0.282
2022-04-19 16:19:15,0.216,0.210,0.249,0.225
2022-04-19 16:19:30,0.216,0.210,0.249,0.225
2022-04-19 16:19:45,0.289,0.245,0.230,0.255
2022-04-19 16:20:00,0.289,0.245,0.230,0.255
2022-04-19 16:20:15,0.290,0.131,0.408,0.277
2022-04-19 16:20:30,0.290,0.131,0.408,0.277
2022-04-19 16:20:45,0.172,0.257,0.126,0.185
2022-04-19 16:21:00,0.172,0.257,0.126,0.185
2022-04-19 16:21:15,0.167,0.221,0.221,0.203
2022-04-19 16:21:30,0.167,0.221,0.221,0.203
2022-04-19 16:21:45,0.197,0.146,0.279,0.207
2022-04-19 16:22:00,0.197,0.146,0.279,0.207
2022-04-19 16:22:15,0.265,0.295,0.239,0.266
2022-04-19 16:22:30,0.265,0.295,0.239,0.266
2022-04-19 16:22:45,0.228,0.185,0.214,0.209
2022-04-19 16:23:00,0.228,0.185,0.214,0.209
2022-04-19 16:23:15,0.328,0.263,0.179,0.257
