"Time","edge-server-cv-74d975f7cd-z798l 60s","edge-server-cv-74d975f7cd-bbbwx 60s","edge-server-cv-74d975f7cd-gw56j 60s","average"
2022-04-19 16:01:00,0.133,0.246,0.151,0.177
2022-04-19 16:01:15,0.201,0.167,0.189,0.186
2022-04-19 16:01:30,0.201,0.167,0.189,0.186
2022-04-19 16:01:45,0.163,0.286,0.160,0.203
2022-04-19 16:02:00,0.163,0.286,0.160,0.203
2022-04-19 16:02:15,0.388,0.181,0.220,0.263
2022-04-19 16:02:30,0.388,0.181,0.220,0.263
2022-04-19 16:02:45,0.331,0.000271,0.180,0.170
2022-04-19 16:03:00,0.331,0.000271,0.180,0.170
2022-04-19 16:03:15,0.343,0.305,0.201,0.283
2022-04-19 16:03:30,0.343,0.305,0.201,0.283
2022-04-19 16:03:45,0.0920,0.198,0.302,0.197
2022-04-19 16:04:00,0.0920,0.198,0.302,0.197
2022-04-19 16:04:15,0.482,0.192,0.118,0.264
2022-04-19 16:04:30,0.482,0.192,0.118,0.264
2022-04-19 16:04:45,0.105,0.130,0.222,0.152
2022-04-19 16:05:00,0.105,0.130,0.222,0.152
2022-04-19 16:05:15,0.297,0.318,0.248,0.288
2022-04-19 16:05:30,0.297,0.318,0.248,0.288
2022-04-19 16:05:45,0.255,0.207,0.159,0.207
2022-04-19 16:06:00,0.255,0.207,0.159,0.207
2022-04-19 16:06:15,0.246,0.214,0.159,0.206
2022-04-19 16:06:30,0.246,0.214,0.159,0.206
2022-04-19 16:06:45,0.0805,0.158,0.166,0.135
2022-04-19 16:07:00,0.0805,0.158,0.166,0.135
2022-04-19 16:07:15,0.358,0.125,0.335,0.273
2022-04-19 16:07:30,0.358,0.125,0.335,0.273
2022-04-19 16:07:45,0.193,0.168,0.0160,0.126
2022-04-19 16:08:00,0.193,0.168,0.0160,0.126
2022-04-19 16:08:15,0.197,0.296,0.255,0.249
2022-04-19 16:08:30,0.197,0.296,0.255,0.249
2022-04-19 16:08:45,0.168,0.0577,0.195,0.140
2022-04-19 16:09:00,0.168,0.0577,0.195,0.140
2022-04-19 16:09:15,0.137,0.132,0.322,0.197
2022-04-19 16:09:30,0.137,0.132,0.322,0.197
2022-04-19 16:09:45,0.233,0.187,0.0952,0.172
2022-04-19 16:10:00,0.233,0.187,0.0952,0.172
2022-04-19 16:10:15,0.000934,0.477,0.318,0.265
2022-04-19 16:10:30,0.000934,0.477,0.318,0.265
