"Time","Average Request Rate","edge-server-cv-74d975f7cd-bbbwx Requests/2s","edge-server-cv-74d975f7cd-gw56j Requests/2s","edge-server-cv-74d975f7cd-z798l Requests/2s","avg_requests/30"
2022-04-19 16:01:12,0.333,1,0,0,1.31
2022-04-19 16:01:14,0.333,0,1,0,1.28
2022-04-19 16:01:16,0.333,0,1,0,1.31
2022-04-19 16:01:18,0.333,1,0,0,1.31
2022-04-19 16:01:20,0.333,0,1,0,1.24
2022-04-19 16:01:22,1,2,1,0,1.31
2022-04-19 16:01:24,0,0,0,0,1.28
2022-04-19 16:01:26,1.33,2,1,1,1.45
2022-04-19 16:01:28,0.333,0,0,1,1.41
2022-04-19 16:01:30,0,0,0,0,1.34
2022-04-19 16:01:32,0.667,0,1,1,1.38
2022-04-19 16:01:34,1,1,1,1,1.45
2022-04-19 16:01:36,1.33,1,0,3,1.45
2022-04-19 16:01:38,0.333,0,0,1,1.59
2022-04-19 16:01:40,0.333,0,1,0,1.59
2022-04-19 16:01:42,0.333,0,1,0,1.59
2022-04-19 16:01:44,0.333,0,0,1,1.48
2022-04-19 16:01:46,1.33,1,1,2,1.59
2022-04-19 16:01:48,0.333,0,1,0,1.55
2022-04-19 16:01:50,1,1,1,1,1.62
2022-04-19 16:01:52,0.333,1,0,0,1.62
2022-04-19 16:01:54,1,2,0,1,1.72
2022-04-19 16:01:56,0.667,1,0,1,1.83
2022-04-19 16:01:58,0,0,0,0,1.76
2022-04-19 16:02:00,0.333,0,0,1,1.76
2022-04-19 16:02:02,0.333,1,0,0,1.66
2022-04-19 16:02:04,0,0,0,0,1.52
2022-04-19 16:02:06,0.667,1,0,1,1.34
2022-04-19 16:02:08,0.333,0,0,1,1.31
2022-04-19 16:02:10,0.333,0,1,0,1.34
2022-04-19 16:02:12,0.333,0,1,0,1.34
2022-04-19 16:02:14,0,0,0,0,1.31
2022-04-19 16:02:16,0.333,0,0,1,1.21
2022-04-19 16:02:18,0.333,0,0,1,1.24
2022-04-19 16:02:20,0,0,0,0,1.10
2022-04-19 16:02:22,0.333,1,0,0,1.03
2022-04-19 16:02:24,0.667,1,0,1,0.828
2022-04-19 16:02:26,1,1,1,1,0.966
2022-04-19 16:02:28,0.333,0,0,1,1
2022-04-19 16:02:30,0.667,0,1,1,1.07
2022-04-19 16:02:32,1,0,1,2,1.21
2022-04-19 16:02:34,1.33,1,2,1,1.34
2022-04-19 16:02:36,1,1,1,1,1.41
2022-04-19 16:02:38,0,0,0,0,1.34
2022-04-19 16:02:40,0.333,0,0,1,1.34
2022-04-19 16:02:42,0.333,0,1,0,1.31
2022-04-19 16:02:44,1,1,0,2,1.38
2022-04-19 16:02:46,0.667,1,0,1,1.41
2022-04-19 16:02:48,0.667,1,0,1,1.38
2022-04-19 16:02:50,0.333,0,0,1,1.45
2022-04-19 16:02:52,0.333,0,0,1,1.52
2022-04-19 16:02:54,0.667,0,2,0,1.38
