"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-z798l Memory Usage","edge-server-cv-74d975f7cd-bbbwx Memory Usage","edge-server-cv-74d975f7cd-gw56j Memory Usage"
2022-04-19 16:01:00,1177669632,392556544,301535232,519356416,356777984
2022-04-19 16:01:15,1592287232,530762411,562839552,646447104,383000576
2022-04-19 16:01:30,1592287232,530762411,562839552,646447104,383000576
2022-04-19 16:01:45,2292453376,764151125,657227776,934940672,700284928
2022-04-19 16:02:00,2292453376,764151125,657227776,934940672,700284928
2022-04-19 16:02:15,1950486528,650162176,738525184,753487872,458473472
2022-04-19 16:02:30,1950486528,650162176,738525184,753487872,458473472
2022-04-19 16:02:45,2121388032,707129344,723095552,918446080,479846400
2022-04-19 16:03:00,2121388032,707129344,723095552,918446080,479846400
2022-04-19 16:03:15,1965412352,655137451,501231616,570228736,893952000
2022-04-19 16:03:30,1965412352,655137451,501231616,570228736,893952000
2022-04-19 16:03:45,2132938752,710979584,686411776,791674880,654852096
2022-04-19 16:04:00,2132938752,710979584,686411776,791674880,654852096
2022-04-19 16:04:15,2077945856,692648619,518078464,645607424,914259968
2022-04-19 16:04:30,2077945856,692648619,518078464,645607424,914259968
2022-04-19 16:04:45,1716580352,572193451,578748416,593096704,544735232
2022-04-19 16:05:00,1716580352,572193451,578748416,593096704,544735232
2022-04-19 16:05:15,2144395264,714798421,569311232,798154752,776929280
2022-04-19 16:05:30,2144395264,714798421,569311232,798154752,776929280
2022-04-19 16:05:45,1520775168,506925056,498335744,510283776,512155648
2022-04-19 16:06:00,1520775168,506925056,498335744,510283776,512155648
2022-04-19 16:06:15,1851359232,617119744,665354240,598126592,587878400
2022-04-19 16:06:30,1851359232,617119744,665354240,598126592,587878400
2022-04-19 16:06:45,1946902528,648967509,540364800,727543808,678993920
2022-04-19 16:07:00,1946902528,648967509,540364800,727543808,678993920
2022-04-19 16:07:15,1816137728,605379243,588435456,566898688,660803584
2022-04-19 16:07:30,1816137728,605379243,588435456,566898688,660803584
2022-04-19 16:07:45,1944813568,648271189,497610752,703385600,743817216
2022-04-19 16:08:00,1944813568,648271189,497610752,703385600,743817216
2022-04-19 16:08:15,1896828928,632276309,601415680,682971136,612442112
2022-04-19 16:08:30,1896828928,632276309,601415680,682971136,612442112
2022-04-19 16:08:45,1998745600,666248533,738701312,697819136,562225152
2022-04-19 16:09:00,1998745600,666248533,738701312,697819136,562225152
2022-04-19 16:09:15,1783607296,594535765,610746368,623284224,549576704
2022-04-19 16:09:30,1783607296,594535765,610746368,623284224,549576704
2022-04-19 16:09:45,1870864384,623621461,607080448,573784064,689999872
2022-04-19 16:10:00,1870864384,623621461,607080448,573784064,689999872
2022-04-19 16:10:15,2006253568,668751189,681320448,664281088,660652032
2022-04-19 16:10:30,2006253568,668751189,681320448,664281088,660652032
2022-04-19 16:10:45,2282860544,760953515,801263616,853745664,627851264
2022-04-19 16:11:00,2282860544,760953515,801263616,853745664,627851264
2022-04-19 16:11:15,1937006592,645668864,504188928,783609856,649207808
2022-04-19 16:11:30,1937006592,645668864,504188928,783609856,649207808
2022-04-19 16:11:45,2047401984,682467328,568545280,790835200,688021504
2022-04-19 16:12:00,2047401984,682467328,568545280,790835200,688021504
2022-04-19 16:12:15,1942282240,647427413,452272128,853299200,636710912
2022-04-19 16:12:30,1942282240,647427413,452272128,853299200,636710912
2022-04-19 16:12:45,2013810688,671270229,597983232,602091520,813735936
2022-04-19 16:13:00,2013810688,671270229,597983232,602091520,813735936
2022-04-19 16:13:15,1879846912,626615637,598618112,416346112,864882688
2022-04-19 16:13:30,1879846912,626615637,598618112,416346112,864882688
2022-04-19 16:13:45,2108739584,702913195,682934272,665145344,760659968
2022-04-19 16:14:00,2108739584,702913195,682934272,665145344,760659968
2022-04-19 16:14:15,2180837376,726945792,984342528,673726464,522768384
2022-04-19 16:14:30,2180837376,726945792,984342528,673726464,522768384
2022-04-19 16:14:45,2051178496,683726165,892424192,437612544,721141760
2022-04-19 16:15:00,2051178496,683726165,892424192,437612544,721141760
2022-04-19 16:15:15,2051125248,683708416,678961152,612941824,759222272
2022-04-19 16:15:30,2051125248,683708416,678961152,612941824,759222272
2022-04-19 16:15:45,1873870848,624623616,505335808,541966336,826568704
2022-04-19 16:16:00,1873870848,624623616,505335808,541966336,826568704
2022-04-19 16:16:15,1852399616,617466539,581349376,551489536,719560704
2022-04-19 16:16:30,1852399616,617466539,581349376,551489536,719560704
2022-04-19 16:16:45,2342391808,780797269,690307072,907108352,744976384
2022-04-19 16:17:00,2342391808,780797269,690307072,907108352,744976384
2022-04-19 16:17:15,2089377792,696459264,603942912,786575360,698859520
2022-04-19 16:17:30,2089377792,696459264,603942912,786575360,698859520
2022-04-19 16:17:45,2113581056,704527019,811638784,798375936,503566336
2022-04-19 16:18:00,2113581056,704527019,811638784,798375936,503566336
2022-04-19 16:18:15,1975341056,658447019,786468864,660406272,528465920
2022-04-19 16:18:30,1975341056,658447019,786468864,660406272,528465920
2022-04-19 16:18:45,2151079936,717026645,616964096,836841472,697274368
2022-04-19 16:19:00,2151079936,717026645,616964096,836841472,697274368
2022-04-19 16:19:15,1850155008,616718336,669573120,799055872,381526016
2022-04-19 16:19:30,1850155008,616718336,669573120,799055872,381526016
2022-04-19 16:19:45,2145333248,715111083,849960960,679235584,616136704
2022-04-19 16:20:00,2145333248,715111083,849960960,679235584,616136704
2022-04-19 16:20:15,2491858944,830619648,890327040,635756544,965775360
2022-04-19 16:20:30,2491858944,830619648,890327040,635756544,965775360
2022-04-19 16:20:45,2191118336,730372779,617979904,704741376,868397056
2022-04-19 16:21:00,2191118336,730372779,617979904,704741376,868397056
2022-04-19 16:21:15,2426257408,808752469,626786304,775454720,1024016384
2022-04-19 16:21:30,2426257408,808752469,626786304,775454720,1024016384
2022-04-19 16:21:45,1533251584,511083861,507052032,543408128,482791424
2022-04-19 16:22:00,1533251584,511083861,507052032,543408128,482791424
2022-04-19 16:22:15,2133610496,711203499,667963392,676823040,788824064
2022-04-19 16:22:30,2133610496,711203499,667963392,676823040,788824064
2022-04-19 16:22:45,2352852992,784284331,711770112,781258752,859824128
2022-04-19 16:23:00,2352852992,784284331,711770112,781258752,859824128
2022-04-19 16:23:15,2212397056,737465685,735305728,799125504,677965824
2022-04-19 16:23:30,2212397056,737465685,735305728,799125504,677965824
2022-04-19 16:23:45,2160459776,720153259,710676480,708587520,741195776
2022-04-19 16:24:00,2160459776,720153259,710676480,708587520,741195776
2022-04-19 16:24:15,1998221312,666073771,458293248,785842176,754085888
2022-04-19 16:24:30,1998221312,666073771,458293248,785842176,754085888
2022-04-19 16:24:45,1846775808,615591936,613928960,549715968,683130880
2022-04-19 16:25:00,1846775808,615591936,613928960,549715968,683130880
2022-04-19 16:25:15,2241957888,747319296,741416960,694845440,805695488
2022-04-19 16:25:30,2241957888,747319296,741416960,694845440,805695488
2022-04-19 16:25:45,2310365184,770121728,537018368,877494272,895852544
2022-04-19 16:26:00,2310365184,770121728,537018368,877494272,895852544
2022-04-19 16:26:15,2118410240,706136747,768643072,568946688,780820480
2022-04-19 16:26:30,2118410240,706136747,768643072,568946688,780820480
2022-04-19 16:26:45,2099445760,699815253,675287040,856027136,568131584
2022-04-19 16:27:00,2099445760,699815253,675287040,856027136,568131584
2022-04-19 16:27:15,2118639616,706213205,627785728,866328576,624525312
2022-04-19 16:27:30,2118639616,706213205,627785728,866328576,624525312
2022-04-19 16:27:45,2358591488,786197163,744062976,844251136,770277376
2022-04-19 16:28:00,2358591488,786197163,744062976,844251136,770277376
2022-04-19 16:28:15,1877061632,625687211,570572800,689352704,617136128
