"Time","Total"
2022-04-19 16:01:00,3
2022-04-19 16:01:15,3
2022-04-19 16:01:30,3
2022-04-19 16:01:45,3
2022-04-19 16:02:00,3
2022-04-19 16:02:15,3
2022-04-19 16:02:30,3
2022-04-19 16:02:45,3
2022-04-19 16:03:00,3
2022-04-19 16:03:15,3
2022-04-19 16:03:30,3
2022-04-19 16:03:45,3
2022-04-19 16:04:00,3
2022-04-19 16:04:15,3
2022-04-19 16:04:30,3
2022-04-19 16:04:45,3
2022-04-19 16:05:00,3
2022-04-19 16:05:15,3
2022-04-19 16:05:30,3
2022-04-19 16:05:45,3
2022-04-19 16:06:00,3
2022-04-19 16:06:15,3
2022-04-19 16:06:30,3
2022-04-19 16:06:45,3
2022-04-19 16:07:00,3
2022-04-19 16:07:15,3
2022-04-19 16:07:30,3
2022-04-19 16:07:45,3
2022-04-19 16:08:00,3
2022-04-19 16:08:15,3
2022-04-19 16:08:30,3
2022-04-19 16:08:45,3
2022-04-19 16:09:00,3
2022-04-19 16:09:15,3
2022-04-19 16:09:30,3
2022-04-19 16:09:45,3
2022-04-19 16:10:00,3
2022-04-19 16:10:15,3
2022-04-19 16:10:30,3
2022-04-19 16:10:45,3
2022-04-19 16:11:00,3
2022-04-19 16:11:15,3
2022-04-19 16:11:30,3
2022-04-19 16:11:45,3
2022-04-19 16:12:00,3
2022-04-19 16:12:15,3
2022-04-19 16:12:30,3
2022-04-19 16:12:45,3
2022-04-19 16:13:00,3
2022-04-19 16:13:15,3
2022-04-19 16:13:30,3
2022-04-19 16:13:45,3
2022-04-19 16:14:00,3
2022-04-19 16:14:15,3
2022-04-19 16:14:30,3
2022-04-19 16:14:45,3
2022-04-19 16:15:00,3
2022-04-19 16:15:15,3
2022-04-19 16:15:30,3
2022-04-19 16:15:45,3
2022-04-19 16:16:00,3
2022-04-19 16:16:15,3
2022-04-19 16:16:30,3
2022-04-19 16:16:45,3
2022-04-19 16:17:00,3
2022-04-19 16:17:15,3
2022-04-19 16:17:30,3
2022-04-19 16:17:45,3
2022-04-19 16:18:00,3
2022-04-19 16:18:15,3
2022-04-19 16:18:30,3
2022-04-19 16:18:45,3
2022-04-19 16:19:00,3
2022-04-19 16:19:15,3
2022-04-19 16:19:30,3
2022-04-19 16:19:45,3
2022-04-19 16:20:00,3
2022-04-19 16:20:15,3
2022-04-19 16:20:30,3
2022-04-19 16:20:45,3
2022-04-19 16:21:00,3
2022-04-19 16:21:15,3
2022-04-19 16:21:30,3
2022-04-19 16:21:45,3
2022-04-19 16:22:00,3
2022-04-19 16:22:15,3
2022-04-19 16:22:30,3
2022-04-19 16:22:45,3
2022-04-19 16:23:00,3
2022-04-19 16:23:15,3
2022-04-19 16:23:30,3
2022-04-19 16:23:45,3
2022-04-19 16:24:00,3
2022-04-19 16:24:15,3
2022-04-19 16:24:30,3
2022-04-19 16:24:45,3
2022-04-19 16:25:00,3
2022-04-19 16:25:15,3
2022-04-19 16:25:30,3
2022-04-19 16:25:45,3
2022-04-19 16:26:00,3
2022-04-19 16:26:15,3
2022-04-19 16:26:30,3
2022-04-19 16:26:45,3
2022-04-19 16:27:00,3
2022-04-19 16:27:15,3
2022-04-19 16:27:30,3
2022-04-19 16:27:45,3
2022-04-19 16:28:00,3
2022-04-19 16:28:15,3
2022-04-19 16:28:30,3
2022-04-19 16:28:45,3
2022-04-19 16:29:00,3
2022-04-19 16:29:15,3
2022-04-19 16:29:30,3
2022-04-19 16:29:45,3
2022-04-19 16:30:00,3

