"Time","Average Response Rate","edge-server-cv-74d975f7cd-bbbwx Response","edge-server-cv-74d975f7cd-gw56j Response","edge-server-cv-74d975f7cd-z798l Response"
2022-04-19 16:01:12,281 ms,292 ms,254 ms,296 ms
2022-04-19 16:01:14,277 ms,266 ms,268 ms,297 ms
2022-04-19 16:01:16,336 ms,284 ms,401 ms,324 ms
2022-04-19 16:01:18,303 ms,287 ms,401 ms,222 ms
2022-04-19 16:01:20,346 ms,292 ms,358 ms,389 ms
2022-04-19 16:01:22,417 ms,527 ms,336 ms,389 ms
2022-04-19 16:01:24,414 ms,611 ms,241 ms,389 ms
2022-04-19 16:01:26,361 ms,452 ms,245 ms,386 ms
2022-04-19 16:01:28,321 ms,484 ms,244 ms,235 ms
2022-04-19 16:01:30,329 ms,484 ms,251 ms,254 ms
2022-04-19 16:01:32,276 ms,293 ms,272 ms,262 ms
2022-04-19 16:01:34,297 ms,347 ms,275 ms,268 ms
2022-04-19 16:01:36,391 ms,363 ms,279 ms,532 ms
2022-04-19 16:01:38,398 ms,397 ms,271 ms,526 ms
2022-04-19 16:01:40,404 ms,397 ms,253 ms,564 ms
2022-04-19 16:01:42,416 ms,383 ms,253 ms,610 ms
2022-04-19 16:01:44,471 ms,418 ms,245 ms,749 ms
2022-04-19 16:01:46,370 ms,325 ms,242 ms,544 ms
2022-04-19 16:01:48,382 ms,325 ms,273 ms,549 ms
2022-04-19 16:01:50,384 ms,308 ms,343 ms,501 ms
2022-04-19 16:01:52,369 ms,304 ms,394 ms,409 ms
2022-04-19 16:01:54,333 ms,331 ms,394 ms,274 ms
2022-04-19 16:01:56,322 ms,311 ms,377 ms,277 ms
2022-04-19 16:01:58,322 ms,297 ms,391 ms,277 ms
2022-04-19 16:02:00,283 ms,300 ms,269 ms,279 ms
2022-04-19 16:02:02,285 ms,300 ms,269 ms,286 ms
2022-04-19 16:02:04,,247 ms,,301 ms
2022-04-19 16:02:06,259 ms,255 ms,265 ms,256 ms
2022-04-19 16:02:08,260 ms,255 ms,265 ms,260 ms
2022-04-19 16:02:10,261 ms,255 ms,279 ms,249 ms
2022-04-19 16:02:12,297 ms,320 ms,321 ms,249 ms
2022-04-19 16:02:14,312 ms,320 ms,368 ms,249 ms
2022-04-19 16:02:16,325 ms,333 ms,368 ms,274 ms
2022-04-19 16:02:18,326 ms,333 ms,368 ms,278 ms
2022-04-19 16:02:20,320 ms,281 ms,405 ms,275 ms
2022-04-19 16:02:22,,287 ms,,275 ms
2022-04-19 16:02:24,,279 ms,,285 ms
2022-04-19 16:02:26,298 ms,280 ms,235 ms,380 ms
2022-04-19 16:02:28,303 ms,279 ms,235 ms,395 ms
2022-04-19 16:02:30,345 ms,274 ms,356 ms,405 ms
2022-04-19 16:02:32,383 ms,268 ms,445 ms,435 ms
2022-04-19 16:02:34,362 ms,271 ms,417 ms,399 ms
2022-04-19 16:02:36,344 ms,238 ms,436 ms,359 ms
2022-04-19 16:02:38,349 ms,228 ms,436 ms,384 ms
2022-04-19 16:02:40,287 ms,228 ms,286 ms,346 ms
2022-04-19 16:02:42,248 ms,228 ms,263 ms,252 ms
