"Time","edge-server-cv-74d975f7cd-z798l","edge-server-cv-74d975f7cd-bbbwx","edge-server-cv-74d975f7cd-gw56j","Average"
2022-04-19 16:01:00,14.4,24.8,17.0,18.7
2022-04-19 16:01:15,26.8,30.8,18.3,25.3
2022-04-19 16:01:30,26.8,30.8,18.3,25.3
2022-04-19 16:01:45,31.3,44.6,33.4,36.4
2022-04-19 16:02:00,31.3,44.6,33.4,36.4
2022-04-19 16:02:15,35.2,35.9,21.9,31.0
2022-04-19 16:02:30,35.2,35.9,21.9,31.0
2022-04-19 16:02:45,34.5,43.8,22.9,33.7
2022-04-19 16:03:00,34.5,43.8,22.9,33.7
2022-04-19 16:03:15,23.9,27.2,42.6,31.2
2022-04-19 16:03:30,23.9,27.2,42.6,31.2
2022-04-19 16:03:45,32.7,37.8,31.2,33.9
2022-04-19 16:04:00,32.7,37.8,31.2,33.9
2022-04-19 16:04:15,24.7,30.8,43.6,33.0
2022-04-19 16:04:30,24.7,30.8,43.6,33.0
2022-04-19 16:04:45,27.6,28.3,26.0,27.3
2022-04-19 16:05:00,27.6,28.3,26.0,27.3
2022-04-19 16:05:15,27.1,38.1,37.0,34.1
2022-04-19 16:05:30,27.1,38.1,37.0,34.1
2022-04-19 16:05:45,23.8,24.3,24.4,24.2
2022-04-19 16:06:00,23.8,24.3,24.4,24.2
2022-04-19 16:06:15,31.7,28.5,28.0,29.4
2022-04-19 16:06:30,31.7,28.5,28.0,29.4
2022-04-19 16:06:45,25.8,34.7,32.4,30.9
2022-04-19 16:07:00,25.8,34.7,32.4,30.9
2022-04-19 16:07:15,28.1,27.0,31.5,28.9
2022-04-19 16:07:30,28.1,27.0,31.5,28.9
2022-04-19 16:07:45,23.7,33.5,35.5,30.9
2022-04-19 16:08:00,23.7,33.5,35.5,30.9
2022-04-19 16:08:15,28.7,32.6,29.2,30.1
2022-04-19 16:08:30,28.7,32.6,29.2,30.1
2022-04-19 16:08:45,35.2,33.3,26.8,31.8
