"Time","Total requests"
2022-04-19 16:01:00,33
2022-04-19 16:01:15,39
2022-04-19 16:01:30,40
2022-04-19 16:01:45,44
2022-04-19 16:02:00,53
2022-04-19 16:02:15,36
2022-04-19 16:02:30,32
2022-04-19 16:02:45,41
2022-04-19 16:03:00,40
2022-04-19 16:03:15,37
2022-04-19 16:03:30,35
2022-04-19 16:03:45,42
2022-04-19 16:04:00,39
2022-04-19 16:04:15,31
2022-04-19 16:04:30,35
2022-04-19 16:04:45,39
2022-04-19 16:05:00,42
2022-04-19 16:05:15,51
2022-04-19 16:05:30,43
2022-04-19 16:05:45,29
2022-04-19 16:06:00,27
2022-04-19 16:06:15,36
2022-04-19 16:06:30,37
2022-04-19 16:06:45,32
2022-04-19 16:07:00,31
2022-04-19 16:07:15,34
2022-04-19 16:07:30,37
2022-04-19 16:07:45,35
2022-04-19 16:08:00,35
2022-04-19 16:08:15,38
2022-04-19 16:08:30,41
2022-04-19 16:08:45,37
2022-04-19 16:09:00,36
2022-04-19 16:09:15,39
2022-04-19 16:09:30,40
2022-04-19 16:09:45,44
2022-04-19 16:10:00,44
2022-04-19 16:10:15,36
2022-04-19 16:10:30,44
2022-04-19 16:10:45,54
2022-04-19 16:11:00,34
2022-04-19 16:11:15,34
2022-04-19 16:11:30,47
2022-04-19 16:11:45,44
2022-04-19 16:12:00,40
2022-04-19 16:12:15,42
2022-04-19 16:12:30,40
2022-04-19 16:12:45,31
2022-04-19 16:13:00,37
2022-04-19 16:13:15,39
2022-04-19 16:13:30,33
2022-04-19 16:13:45,34
2022-04-19 16:14:00,41
2022-04-19 16:14:15,40
2022-04-19 16:14:30,44
2022-04-19 16:14:45,42
2022-04-19 16:15:00,41
2022-04-19 16:15:15,41
2022-04-19 16:15:30,43
2022-04-19 16:15:45,39
2022-04-19 16:16:00,32
2022-04-19 16:16:15,36
2022-04-19 16:16:30,47
2022-04-19 16:16:45,53
2022-04-19 16:17:00,37
2022-04-19 16:17:15,38
2022-04-19 16:17:30,49
2022-04-19 16:17:45,39
2022-04-19 16:18:00,35
2022-04-19 16:18:15,37
2022-04-19 16:18:30,43
2022-04-19 16:18:45,49
2022-04-19 16:19:00,46
2022-04-19 16:19:15,39
2022-04-19 16:19:30,44
2022-04-19 16:19:45,51
2022-04-19 16:20:00,56
2022-04-19 16:20:15,50
2022-04-19 16:20:30,39
2022-04-19 16:20:45,31
2022-04-19 16:21:00,28
2022-04-19 16:21:15,27
2022-04-19 16:21:30,27
2022-04-19 16:21:45,40
2022-04-19 16:22:00,50
2022-04-19 16:22:15,40
2022-04-19 16:22:30,43
2022-04-19 16:22:45,49
2022-04-19 16:23:00,44
2022-04-19 16:23:15,44
2022-04-19 16:23:30,34
2022-04-19 16:23:45,37
2022-04-19 16:24:00,30
2022-04-19 16:24:15,35
2022-04-19 16:24:30,49
2022-04-19 16:24:45,39
2022-04-19 16:25:00,33
2022-04-19 16:25:15,40
2022-04-19 16:25:30,43
2022-04-19 16:25:45,46
2022-04-19 16:26:00,43
2022-04-19 16:26:15,40
2022-04-19 16:26:30,37
2022-04-19 16:26:45,34
2022-04-19 16:27:00,42
2022-04-19 16:27:15,41
2022-04-19 16:27:30,41
2022-04-19 16:27:45,44
2022-04-19 16:28:00,37
2022-04-19 16:28:15,37
2022-04-19 16:28:30,44
2022-04-19 16:28:45,48
2022-04-19 16:29:00,51
2022-04-19 16:29:15,50
2022-04-19 16:29:30,49
2022-04-19 16:29:45,42
2022-04-19 16:30:00,39

