"Time","edge-server-cv-74d975f7cd-kf4xg","edge-server-cv-74d975f7cd-8snqw","edge-server-cv-74d975f7cd-zpwg8","average"
2022-04-19 15:20:00,0.303,0.291,0.209,0.268
2022-04-19 15:20:15,0.463,0.177,0.424,0.355
2022-04-19 15:20:30,0.463,0.177,0.424,0.355
2022-04-19 15:20:45,0.259,0.492,0.312,0.354
2022-04-19 15:21:00,0.259,0.492,0.312,0.354
2022-04-19 15:21:15,0.323,0.443,0.334,0.366
2022-04-19 15:21:30,0.323,0.443,0.334,0.366
2022-04-19 15:21:45,0.386,0.279,0.392,0.352
2022-04-19 15:22:00,0.386,0.279,0.392,0.352
2022-04-19 15:22:15,0.169,0.324,0.447,0.313
2022-04-19 15:22:30,0.169,0.324,0.447,0.313
2022-04-19 15:22:45,0.317,0.319,0.260,0.299
2022-04-19 15:23:00,0.317,0.319,0.260,0.299
2022-04-19 15:23:15,0.293,0.328,0.278,0.300
2022-04-19 15:23:30,0.293,0.328,0.278,0.300
2022-04-19 15:23:45,0.362,0.325,0.362,0.350
2022-04-19 15:24:00,0.362,0.325,0.362,0.350
2022-04-19 15:24:15,0.328,0.443,0.259,0.343
2022-04-19 15:24:30,0.328,0.443,0.259,0.343
2022-04-19 15:24:45,0.336,0.437,0.543,0.439
2022-04-19 15:25:00,0.336,0.437,0.543,0.439
2022-04-19 15:25:15,0.369,0.246,0.254,0.290
2022-04-19 15:25:30,0.369,0.246,0.254,0.290
2022-04-19 15:25:45,0.268,0.335,0.485,0.363
2022-04-19 15:26:00,0.268,0.335,0.485,0.363
2022-04-19 15:26:15,0.570,0.438,0.339,0.449
2022-04-19 15:26:30,0.570,0.438,0.339,0.449
2022-04-19 15:26:45,0.212,0.351,0.296,0.287
2022-04-19 15:27:00,0.212,0.351,0.296,0.287
2022-04-19 15:27:15,0.474,0.267,0.522,0.421
2022-04-19 15:27:30,0.474,0.267,0.522,0.421
2022-04-19 15:27:45,0.312,0.300,0.284,0.299
2022-04-19 15:28:00,0.312,0.300,0.284,0.299
2022-04-19 15:28:15,0.238,0.491,0.502,0.410
2022-04-19 15:28:30,0.238,0.491,0.502,0.410
2022-04-19 15:28:45,0.337,0.393,0.335,0.355
2022-04-19 15:29:00,0.337,0.393,0.335,0.355
2022-04-19 15:29:15,0.441,0.366,0.225,0.344
2022-04-19 15:29:30,0.441,0.366,0.225,0.344
2022-04-19 15:29:45,0.294,0.312,0.380,0.329
2022-04-19 15:30:00,0.294,0.312,0.380,0.329
2022-04-19 15:30:15,0.400,0.390,0.381,0.390
2022-04-19 15:30:30,0.400,0.390,0.381,0.390
2022-04-19 15:30:45,0.331,0.288,0.392,0.337
2022-04-19 15:31:00,0.331,0.288,0.392,0.337
2022-04-19 15:31:15,0.288,0.432,0.302,0.341
2022-04-19 15:31:30,0.288,0.432,0.302,0.341
2022-04-19 15:31:45,0.500,0.309,0.522,0.444
2022-04-19 15:32:00,0.500,0.309,0.522,0.444
2022-04-19 15:32:15,0.396,0.460,0.420,0.425
2022-04-19 15:32:30,0.396,0.460,0.420,0.425
2022-04-19 15:32:45,0.313,0.345,0.345,0.334
2022-04-19 15:33:00,0.313,0.345,0.345,0.334
2022-04-19 15:33:15,0.484,0.287,0.414,0.395
2022-04-19 15:33:30,0.484,0.287,0.414,0.395
2022-04-19 15:33:45,0.269,0.443,0.205,0.306
2022-04-19 15:34:00,0.269,0.443,0.205,0.306
2022-04-19 15:34:15,0.262,0.410,0.438,0.370
2022-04-19 15:34:30,0.262,0.410,0.438,0.370
2022-04-19 15:34:45,0.445,0.528,0.448,0.474
2022-04-19 15:35:00,0.445,0.528,0.448,0.474
2022-04-19 15:35:15,0.176,0.409,0.431,0.339
2022-04-19 15:35:30,0.176,0.409,0.431,0.339
2022-04-19 15:35:45,0.502,0.415,0.360,0.426
2022-04-19 15:36:00,0.502,0.415,0.360,0.426
2022-04-19 15:36:15,0.389,0.325,0.493,0.402
2022-04-19 15:36:30,0.389,0.325,0.493,0.402
2022-04-19 15:36:45,0.365,0.311,0.344,0.340
2022-04-19 15:37:00,0.365,0.311,0.344,0.340
2022-04-19 15:37:15,0.347,0.348,0.397,0.364
2022-04-19 15:37:30,0.347,0.348,0.397,0.364
2022-04-19 15:37:45,0.521,0.348,0.284,0.384
2022-04-19 15:38:00,0.521,0.348,0.284,0.384
2022-04-19 15:38:15,0.383,0.330,0.275,0.329
2022-04-19 15:38:30,0.383,0.330,0.275,0.329
2022-04-19 15:38:45,0.317,0.286,0.466,0.356
2022-04-19 15:39:00,0.317,0.286,0.466,0.356
2022-04-19 15:39:15,0.260,0.349,0.280,0.296
2022-04-19 15:39:30,0.260,0.349,0.280,0.296
2022-04-19 15:39:45,0.422,0.302,0.285,0.336
2022-04-19 15:40:00,0.422,0.302,0.285,0.336
2022-04-19 15:40:15,0.403,0.446,0.501,0.450
