"Time","edge-server-cv-74d975f7cd-kf4xg 60s","edge-server-cv-74d975f7cd-8snqw 60s","edge-server-cv-74d975f7cd-zpwg8 60s","average"
2022-04-19 15:20:00,0.368,0.169,0.140,0.226
2022-04-19 15:20:15,0.594,0.162,0.533,0.429
2022-04-19 15:20:30,0.594,0.162,0.533,0.429
2022-04-19 15:20:45,0.222,0.574,0.297,0.364
2022-04-19 15:21:00,0.222,0.574,0.297,0.364
2022-04-19 15:21:15,0.505,0.551,0.263,0.440
2022-04-19 15:21:30,0.505,0.551,0.263,0.440
2022-04-19 15:21:45,0.388,0.481,0.712,0.527
2022-04-19 15:22:00,0.388,0.481,0.712,0.527
2022-04-19 15:22:15,0.147,0.412,0.431,0.330
2022-04-19 15:22:30,0.147,0.412,0.431,0.330
2022-04-19 15:22:45,0.211,0.403,0.267,0.294
2022-04-19 15:23:00,0.211,0.403,0.267,0.294
2022-04-19 15:23:15,0.313,0.264,0.376,0.317
2022-04-19 15:23:30,0.313,0.264,0.376,0.317
2022-04-19 15:23:45,0.412,0.300,0.269,0.327
2022-04-19 15:24:00,0.412,0.300,0.269,0.327
2022-04-19 15:24:15,0.320,0.528,0.296,0.381
2022-04-19 15:24:30,0.320,0.528,0.296,0.381
2022-04-19 15:24:45,0.341,0.333,0.698,0.457
2022-04-19 15:25:00,0.341,0.333,0.698,0.457
2022-04-19 15:25:15,0.332,0.548,0.439,0.440
2022-04-19 15:25:30,0.332,0.548,0.439,0.440
2022-04-19 15:25:45,0.501,0.323,0.489,0.438
2022-04-19 15:26:00,0.501,0.323,0.489,0.438
2022-04-19 15:26:15,0.752,0.837,0.277,0.622
2022-04-19 15:26:30,0.752,0.837,0.277,0.622
2022-04-19 15:26:45,0.168,0.342,0.412,0.308
2022-04-19 15:27:00,0.168,0.342,0.412,0.308
2022-04-19 15:27:15,0.666,0.271,0.998,0.645
2022-04-19 15:27:30,0.666,0.271,0.998,0.645
2022-04-19 15:27:45,0.438,0.361,0.310,0.370
2022-04-19 15:28:00,0.438,0.361,0.310,0.370
2022-04-19 15:28:15,0.233,0.834,0.444,0.504
2022-04-19 15:28:30,0.233,0.834,0.444,0.504
2022-04-19 15:28:45,0.239,0.412,0.362,0.338
2022-04-19 15:29:00,0.239,0.412,0.362,0.338
2022-04-19 15:29:15,0.539,0.418,0.128,0.362
2022-04-19 15:29:30,0.539,0.418,0.128,0.362
2022-04-19 15:29:45,0.255,0.272,0.392,0.306
2022-04-19 15:30:00,0.255,0.272,0.392,0.306
2022-04-19 15:30:15,0.487,0.405,0.325,0.405
2022-04-19 15:30:30,0.487,0.405,0.325,0.405
2022-04-19 15:30:45,0.246,0.207,0.544,0.332
2022-04-19 15:31:00,0.246,0.207,0.544,0.332
2022-04-19 15:31:15,0.449,0.294,0.269,0.338
2022-04-19 15:31:30,0.449,0.294,0.269,0.338
2022-04-19 15:31:45,0.686,0.267,0.539,0.497
2022-04-19 15:32:00,0.686,0.267,0.539,0.497
2022-04-19 15:32:15,0.388,0.628,0.337,0.451
2022-04-19 15:32:30,0.388,0.628,0.337,0.451
2022-04-19 15:32:45,0.522,0.543,0.521,0.529
2022-04-19 15:33:00,0.522,0.543,0.521,0.529
2022-04-19 15:33:15,0.603,0.405,0.364,0.457
2022-04-19 15:33:30,0.603,0.405,0.364,0.457
2022-04-19 15:33:45,0.372,0.639,0.223,0.411
2022-04-19 15:34:00,0.372,0.639,0.223,0.411
2022-04-19 15:34:15,0.166,0.433,0.502,0.367
2022-04-19 15:34:30,0.166,0.433,0.502,0.367
2022-04-19 15:34:45,0.478,0.974,0.727,0.726
2022-04-19 15:35:00,0.478,0.974,0.727,0.726
2022-04-19 15:35:15,0.172,0.604,0.455,0.410
2022-04-19 15:35:30,0.172,0.604,0.455,0.410
2022-04-19 15:35:45,0.808,0.558,0.312,0.560
2022-04-19 15:36:00,0.808,0.558,0.312,0.560
2022-04-19 15:36:15,0.340,0.380,1.56,0.760
2022-04-19 15:36:30,0.340,0.380,1.56,0.760
2022-04-19 15:36:45,0.436,0.253,0.214,0.301
2022-04-19 15:37:00,0.436,0.253,0.214,0.301
2022-04-19 15:37:15,0.476,0.344,0.612,0.477
2022-04-19 15:37:30,0.476,0.344,0.612,0.477
2022-04-19 15:37:45,0.424,0.244,0.219,0.296
2022-04-19 15:38:00,0.424,0.244,0.219,0.296
2022-04-19 15:38:15,0.458,0.265,0.324,0.349
2022-04-19 15:38:30,0.458,0.265,0.324,0.349
2022-04-19 15:38:45,0.146,0.349,0.601,0.365
2022-04-19 15:39:00,0.146,0.349,0.601,0.365
2022-04-19 15:39:15,0.228,0.348,0.166,0.247
2022-04-19 15:39:30,0.228,0.348,0.166,0.247
2022-04-19 15:39:45,0.364,0.365,0.318,0.349
2022-04-19 15:40:00,0.364,0.365,0.318,0.349
2022-04-19 15:40:15,0.255,0.399,0.641,0.431
2022-04-19 15:40:30,0.255,0.399,0.641,0.431
2022-04-19 15:40:45,0.484,0.416,0.196,0.365
2022-04-19 15:41:00,0.484,0.416,0.196,0.365
2022-04-19 15:41:15,0.535,0.293,0.210,0.346
2022-04-19 15:41:30,0.535,0.293,0.210,0.346
2022-04-19 15:41:45,0.736,0.470,0.460,0.555
2022-04-19 15:42:00,0.736,0.470,0.460,0.555
2022-04-19 15:42:15,0.201,0.360,0.327,0.296
2022-04-19 15:42:30,0.201,0.360,0.327,0.296
2022-04-19 15:42:45,0.484,0.350,0.575,0.470
2022-04-19 15:43:00,0.484,0.350,0.575,0.470
2022-04-19 15:43:15,0.418,0.320,0.110,0.283
2022-04-19 15:43:30,0.418,0.320,0.110,0.283
2022-04-19 15:43:45,0.817,0.418,0.518,0.584
2022-04-19 15:44:00,0.817,0.418,0.518,0.584
2022-04-19 15:44:15,0.562,0.438,1.16,0.720
2022-04-19 15:44:30,0.562,0.438,1.16,0.720
2022-04-19 15:44:45,0.252,0.583,0.226,0.353
2022-04-19 15:45:00,0.252,0.583,0.226,0.353
2022-04-19 15:45:15,0.0380,0.182,0.173,0.131
2022-04-19 15:45:30,0.0380,0.182,0.173,0.131
2022-04-19 15:45:45,0.633,0.865,0.290,0.596
2022-04-19 15:46:00,0.633,0.865,0.290,0.596
2022-04-19 15:46:15,0.538,0.394,1.54,0.824
2022-04-19 15:46:30,0.538,0.394,1.54,0.824
2022-04-19 15:46:45,0.342,0.320,0.228,0.297
2022-04-19 15:47:00,0.342,0.320,0.228,0.297
2022-04-19 15:47:15,0.368,0.718,0.458,0.515
2022-04-19 15:47:30,0.368,0.718,0.458,0.515
2022-04-19 15:47:45,0.408,0.207,0.715,0.443
2022-04-19 15:48:00,0.408,0.207,0.715,0.443
2022-04-19 15:48:15,0.504,0.452,0.573,0.510
2022-04-19 15:48:30,0.504,0.452,0.573,0.510
2022-04-19 15:48:45,1.20,0.551,0.191,0.649
2022-04-19 15:49:00,1.20,0.551,0.191,0.649

