"Time","Average Request Rate","edge-server-cv-74d975f7cd-8snqw Requests/2s","edge-server-cv-74d975f7cd-kf4xg Requests/2s","edge-server-cv-74d975f7cd-zpwg8 Requests/2s","avg_requests/30"
2022-04-19 15:20:10,0.333,1,0,0,2.83
2022-04-19 15:20:12,0.333,1,0,0,2.76
2022-04-19 15:20:14,0,0,0,0,2.72
2022-04-19 15:20:16,3,4,1,4,3
2022-04-19 15:20:18,0.665,2.00,0,0,3.07
2022-04-19 15:20:20,1,0,2,1,3.07
2022-04-19 15:20:22,2.33,4,2,1,3.31
2022-04-19 15:20:24,0.667,1,1,0,3.41
2022-04-19 15:20:26,0.667,1,1,0,3.48
2022-04-19 15:20:28,0.333,0,0,1,3.28
2022-04-19 15:20:30,1,1,1,1,3.28
2022-04-19 15:20:32,0,0,0,0,3.28
2022-04-19 15:20:34,1.67,3,2,0,3.21
2022-04-19 15:20:36,0.667,0,2,0,3.07
2022-04-19 15:20:38,0.333,0,0,1,2.83
2022-04-19 15:20:40,1.33,2,0,2,2.93
2022-04-19 15:20:42,0.667,1,1,0,2.93
2022-04-19 15:20:44,0.667,1,0,1,2.97
2022-04-19 15:20:46,0.668,1.00,0,1,2.62
2022-04-19 15:20:48,0.668,1.00,1,0,2.66
2022-04-19 15:20:50,1.33,0,2,2,2.72
2022-04-19 15:20:52,1,1,1,1,2.55
2022-04-19 15:20:54,1,1,1,1,2.48
2022-04-19 15:20:56,0.667,2,0,0,2.48
2022-04-19 15:20:58,0.333,0,0,1,2.38
2022-04-19 15:21:00,1.33,0,2,2,2.31
2022-04-19 15:21:02,0.667,2,0,0,2.45
2022-04-19 15:21:04,1.67,3,1,1,2.45
2022-04-19 15:21:06,0.333,0,1,0,2.52
2022-04-19 15:21:08,2,1,3,2,2.72
2022-04-19 15:21:10,1.33,2,0,2,2.79
2022-04-19 15:21:12,0.997,0,0.997,1.99,2.79
2022-04-19 15:21:14,0.333,0,1,0,2.69
2022-04-19 15:21:16,1,1,1,1,2.76
2022-04-19 15:21:18,1,1,1,1,2.69
2022-04-19 15:21:20,1,0,1,2,2.62
2022-04-19 15:21:22,0.333,0,0,1,2.66
2022-04-19 15:21:24,0,0,0,0,2.48
2022-04-19 15:21:26,0.667,1,1,0,2.62
2022-04-19 15:21:28,1.67,4,1,0,2.86
2022-04-19 15:21:30,1.67,0,3,2,2.83
2022-04-19 15:21:32,1.33,1,0,3,2.93
2022-04-19 15:21:34,0.333,0,1,0,2.66
2022-04-19 15:21:36,0.667,0,1,1,2.69
2022-04-19 15:21:38,1.67,0,3,2,2.62
2022-04-19 15:21:40,1,0,0,3,2.55
2022-04-19 15:21:42,1.33,1,0,3,2.59
2022-04-19 15:21:44,1.33,2,1,1,2.62
2022-04-19 15:21:46,0.667,0,1,1,2.62
2022-04-19 15:21:48,0.667,1,0,1,2.66
2022-04-19 15:21:50,0.333,0,0,1,2.62
2022-04-19 15:21:52,1.67,2,1,2,2.79
2022-04-19 15:21:54,1.33,1,2,1,2.97
2022-04-19 15:21:56,0.335,0,1.00,0,2.90
2022-04-19 15:21:58,0,0,0,0,2.79
2022-04-19 15:22:00,0.667,1,0,1,2.62
2022-04-19 15:22:02,1,1,1,1,2.62
2022-04-19 15:22:04,0.333,0,0,1,2.59
2022-04-19 15:22:06,0.333,0,0,1,2.48
2022-04-19 15:22:08,1.33,3,1,0,2.52
2022-04-19 15:22:10,0.668,1.00,1,0,2.69
2022-04-19 15:22:12,0.667,2,0,0,2.69
2022-04-19 15:22:14,0.667,1,0,1,2.62
2022-04-19 15:22:16,0,0,0,0,2.41
2022-04-19 15:22:18,1.34,1,2.01,1,2.38
2022-04-19 15:22:20,1.33,0,2,2,2.48
2022-04-19 15:22:22,0.667,2,0,0,2.34
2022-04-19 15:22:24,1,0,2,1,2.31
2022-04-19 15:22:26,1.67,1,1,3,2.38
2022-04-19 15:22:28,1.67,2.00,1,2,2.59
2022-04-19 15:22:30,0.667,2,0,0,2.62
2022-04-19 15:22:32,1.33,2,2,0,2.66
2022-04-19 15:22:34,0.667,1,0,1,2.69
2022-04-19 15:22:36,1,1,1,1,2.79
2022-04-19 15:22:38,0.333,1,0,0,2.45
2022-04-19 15:22:40,1,2,0,1,2.48
2022-04-19 15:22:42,1.67,1,1,3,2.55
2022-04-19 15:22:44,1,1,1,1,2.62
2022-04-19 15:22:46,0.333,1,0,0,2.76
2022-04-19 15:22:48,1,1,2,0,2.90
2022-04-19 15:22:50,1,2,1,0,2.79
2022-04-19 15:22:52,0.333,0,0,1,2.72
2022-04-19 15:22:54,1,1,0,2,2.69
2022-04-19 15:22:56,0.667,0,1,1,2.55
2022-04-19 15:22:58,1.33,3,1,0,2.48
2022-04-19 15:23:00,0,0,0,0,2.38
2022-04-19 15:23:02,0.333,1,0,0,2.38
2022-04-19 15:23:04,0.333,1,0,0,2.38
2022-04-19 15:23:06,0.333,0,1,0,2.38
2022-04-19 15:23:08,0.667,1,1,0,2.48
2022-04-19 15:23:10,1,0,1,2,2.52
2022-04-19 15:23:12,1.67,1,3,1,2.52
2022-04-19 15:23:14,0.333,0,0,1,2.38
2022-04-19 15:23:16,0.333,0,0,1,2.31
2022-04-19 15:23:18,1,1,0,2,2.34
2022-04-19 15:23:20,1.33,3,0,1,2.48
2022-04-19 15:23:22,1.67,3,0,2,2.62
2022-04-19 15:23:24,0.667,0,1,1,2.72
2022-04-19 15:23:26,1,2,1,0,2.72
2022-04-19 15:23:28,0.333,0,1,0,2.66
2022-04-19 15:23:30,0,0,0,0,2.62
2022-04-19 15:23:32,1.33,1,0,3,2.66
2022-04-19 15:23:34,1,2,1,0,2.72
2022-04-19 15:23:36,1.33,0,2,2,2.79
2022-04-19 15:23:38,0.667,0,0,2,2.90
2022-04-19 15:23:40,1.67,1,3,1,2.97
2022-04-19 15:23:42,0.667,0,1,1,2.83
2022-04-19 15:23:44,0.667,1,1,0,2.86
2022-04-19 15:23:46,0.667,1,1,0,2.79
2022-04-19 15:23:48,0.667,0,1,1,2.76
2022-04-19 15:23:50,0,0,0,0,2.69
2022-04-19 15:23:52,0.667,1,0,1,2.48
2022-04-19 15:23:54,1,2,1,0,2.48
2022-04-19 15:23:56,0.333,0,1,0,2.38
2022-04-19 15:23:58,1,2,1,0,2.55
2022-04-19 15:24:00,0.667,1,1,0,2.66
2022-04-19 15:24:02,0,0,0,0,2.52
2022-04-19 15:24:04,1.33,2,1,1,2.62
2022-04-19 15:24:06,1,2,0,1,2.55
2022-04-19 15:24:08,0.333,1,0,0,2.55
2022-04-19 15:24:10,0,0,0,0,2.45
2022-04-19 15:24:12,1.33,2,0,2,2.41
2022-04-19 15:24:14,0,0,0,0,2.52
2022-04-19 15:24:16,2,3,1,2,2.55
2022-04-19 15:24:18,1,0,2,1,2.48
2022-04-19 15:24:20,0.333,1,0,0,2.66
2022-04-19 15:24:22,1.33,2,0,2,2.79
2022-04-19 15:24:24,1,0,2,1,2.83
2022-04-19 15:24:26,0,0,0,0,2.76
2022-04-19 15:24:28,1,0,1,2,2.72
2022-04-19 15:24:30,1.33,1,2,1,2.90
2022-04-19 15:24:32,1,0,0,3,3.00
2022-04-19 15:24:34,2.00,2.99,2,1,3.03
2022-04-19 15:24:36,0,0,0,0,2.97
2022-04-19 15:24:38,0.333,1,0,0,2.97
2022-04-19 15:24:40,0.667,2,0,0,3
2022-04-19 15:24:42,1.33,2,1,1,2.93
2022-04-19 15:24:44,0.333,0,1,0,2.97
2022-04-19 15:24:46,1.33,0,1,3,3.03
2022-04-19 15:24:48,0.333,0,0,1,2.76
2022-04-19 15:24:50,1,2,0,1,2.90
2022-04-19 15:24:52,0.667,0,0,2,2.90
2022-04-19 15:24:54,0.667,0,1,1,2.86
2022-04-19 15:24:56,0,0,0,0,2.90
2022-04-19 15:24:58,1,1,2,0,2.86
2022-04-19 15:25:00,1,1,1,1,2.86
2022-04-19 15:25:02,1.33,2,1,1,2.86
2022-04-19 15:25:04,1.67,3,1,1,2.83
2022-04-19 15:25:06,0.667,0,0,2,2.86
2022-04-19 15:25:08,1,1,1,1,2.97
2022-04-19 15:25:10,0.333,0,0,1,2.93
2022-04-19 15:25:12,0.333,0,0,1,2.83
2022-04-19 15:25:14,0.667,0,1,1,2.83
2022-04-19 15:25:16,2,1,3,2,3.07
2022-04-19 15:25:18,1,1,1,1,3.14
2022-04-19 15:25:20,1,1,1,1,3.14
2022-04-19 15:25:22,0.667,1,1,0,3.03
2022-04-19 15:25:24,1.33,1,1,2,3.07
2022-04-19 15:25:26,0.667,0,0,2,3
2022-04-19 15:25:28,1,1,2,0,2.83
2022-04-19 15:25:30,0.667,0,2,0,2.86
2022-04-19 15:25:32,1.33,1,1,2,2.90
2022-04-19 15:25:34,1,2,0,1,3
2022-04-19 15:25:36,1.33,1,1,2,3.14
2022-04-19 15:25:38,0,0,0,0,2.97
2022-04-19 15:25:40,2.33,3,3,1,3.17
2022-04-19 15:25:42,1.33,0,2,2,3.21
2022-04-19 15:25:44,1,3,0,0,3.28
2022-04-19 15:25:46,0.667,1,0,1,3.14
2022-04-19 15:25:48,0.667,1,1,0,3
2022-04-19 15:25:50,0.667,1,1,0,2.97
2022-04-19 15:25:52,2.00,2.00,2,2,3.10
2022-04-19 15:25:54,0.667,1,0,1,3.07
2022-04-19 15:25:56,1,2,1,0,3.14
2022-04-19 15:25:58,0.333,0,0,1,2.97
2022-04-19 15:26:00,0.667,0,1,1,2.90
2022-04-19 15:26:02,1,1,2,0,2.66
2022-04-19 15:26:04,0.999,2.00,0,1,2.59
2022-04-19 15:26:06,0.667,0,0,2,2.66
2022-04-19 15:26:08,0,0,0,0,2.66
2022-04-19 15:26:10,1.33,1,1,2,2.66
2022-04-19 15:26:12,1,0,3,0,2.52
2022-04-19 15:26:14,0,0,0,0,2.31
2022-04-19 15:26:16,0.667,1,1,0,2.41
2022-04-19 15:26:18,2,1,1,4,2.62
2022-04-19 15:26:20,1.33,2,0,2,2.69
2022-04-19 15:26:22,1.33,0,2,2,2.72
2022-04-19 15:26:24,0.333,0,1,0,2.69
2022-04-19 15:26:26,0.667,1,0,1,2.69
2022-04-19 15:26:28,2.67,3,0,5,2.90
2022-04-19 15:26:30,0.667,1,0,1,2.97
2022-04-19 15:26:32,0.667,1,1,0,3.00
2022-04-19 15:26:34,0,0,0,0,2.76
2022-04-19 15:26:36,2,2,4,0,2.97
2022-04-19 15:26:38,0.333,0,1,0,2.93
2022-04-19 15:26:40,0.333,0,1,0,2.83
2022-04-19 15:26:42,0.667,0,1,1,2.83
2022-04-19 15:26:44,1.00,2.01,0,1,2.83
2022-04-19 15:26:46,2.33,2,2,3,3
2022-04-19 15:26:48,0.333,0,1,0,2.83
2022-04-19 15:26:50,0,0,0,0,2.62
2022-04-19 15:26:52,0.333,0,0,1,2.62
2022-04-19 15:26:54,0.667,0,0,2,2.69
2022-04-19 15:26:56,1.33,1,1,2,2.76
2022-04-19 15:26:58,1.67,1.01,2,2,2.66
2022-04-19 15:27:00,0,0,0,0,2.69
2022-04-19 15:27:02,1.33,1,2,1,2.79
2022-04-19 15:27:04,0.333,1,0,0,2.79
2022-04-19 15:27:06,0,0,0,0,2.52
2022-04-19 15:27:08,0.667,1,0,1,2.52
