"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-kf4xg Memory Usage","edge-server-cv-74d975f7cd-8snqw Memory Usage","edge-server-cv-74d975f7cd-zpwg8 Memory Usage"
2022-04-19 15:20:00,2232619008,744206336,615399424,821043200,796176384
2022-04-19 15:20:15,2543575040,847858347,941301760,742191104,860082176
2022-04-19 15:20:30,2543575040,847858347,941301760,742191104,860082176
2022-04-19 15:20:45,2503610368,834536789,785829888,887189504,830590976
2022-04-19 15:21:00,2503610368,834536789,785829888,887189504,830590976
2022-04-19 15:21:15,2566520832,855506944,706420736,1057546240,802553856
2022-04-19 15:21:30,2566520832,855506944,706420736,1057546240,802553856
2022-04-19 15:21:45,2359005184,786335061,913326080,843571200,602107904
2022-04-19 15:22:00,2359005184,786335061,913326080,843571200,602107904
2022-04-19 15:22:15,2409627648,803209216,877518848,662642688,869466112
2022-04-19 15:22:30,2409627648,803209216,877518848,662642688,869466112
2022-04-19 15:22:45,2222530560,740843520,887570432,752783360,582176768
2022-04-19 15:23:00,2222530560,740843520,887570432,752783360,582176768
2022-04-19 15:23:15,2287972352,762657451,794435584,816320512,677216256
2022-04-19 15:23:30,2287972352,762657451,794435584,816320512,677216256
2022-04-19 15:23:45,2488688640,829562880,712785920,1061826560,714076160
2022-04-19 15:24:00,2488688640,829562880,712785920,1061826560,714076160
2022-04-19 15:24:15,2557009920,852336640,1009602560,854695936,692711424
2022-04-19 15:24:30,2557009920,852336640,1009602560,854695936,692711424
2022-04-19 15:24:45,3071811584,1023937195,905138176,1241960448,924712960
2022-04-19 15:25:00,3071811584,1023937195,905138176,1241960448,924712960
2022-04-19 15:25:15,2710908928,903636309,740777984,1159303168,810827776
2022-04-19 15:25:30,2710908928,903636309,740777984,1159303168,810827776
2022-04-19 15:25:45,2938200064,979400021,1046261760,954621952,937316352
2022-04-19 15:26:00,2938200064,979400021,1046261760,954621952,937316352
2022-04-19 15:26:15,2042806272,680935424,445513728,745209856,852082688
2022-04-19 15:26:30,2042806272,680935424,445513728,745209856,852082688
2022-04-19 15:26:45,2588348416,862782805,691064832,1116581888,780701696
2022-04-19 15:27:00,2588348416,862782805,691064832,1116581888,780701696
2022-04-19 15:27:15,2170019840,723339947,639660032,744103936,786255872
2022-04-19 15:27:30,2170019840,723339947,639660032,744103936,786255872
2022-04-19 15:27:45,2361847808,787282603,766103552,831868928,763875328
2022-04-19 15:28:00,2361847808,787282603,766103552,831868928,763875328
2022-04-19 15:28:15,2996396032,998798677,991432704,1021329408,983633920
2022-04-19 15:28:30,2996396032,998798677,991432704,1021329408,983633920
2022-04-19 15:28:45,2596974592,865658197,969846784,876564480,750563328
2022-04-19 15:29:00,2596974592,865658197,969846784,876564480,750563328
2022-04-19 15:29:15,2802188288,934062763,938352640,865415168,998420480
2022-04-19 15:29:30,2802188288,934062763,938352640,865415168,998420480
2022-04-19 15:29:45,2988699648,996233216,1252769792,991326208,744603648
2022-04-19 15:30:00,2988699648,996233216,1252769792,991326208,744603648
2022-04-19 15:30:15,2509541376,836513792,982233088,832331776,694976512
