"Time","Average Response Rate","edge-server-cv-74d975f7cd-8snqw Response","edge-server-cv-74d975f7cd-kf4xg Response","edge-server-cv-74d975f7cd-zpwg8 Response"
2022-04-19 15:20:10,380 ms,419 ms,383 ms,339 ms
2022-04-19 15:20:12,370 ms,392 ms,380 ms,338 ms
2022-04-19 15:20:14,355 ms,336 ms,396 ms,333 ms
2022-04-19 15:20:16,509 ms,440 ms,467 ms,621 ms
2022-04-19 15:20:18,543 ms,443 ms,606 ms,580 ms
2022-04-19 15:20:20,528 ms,460 ms,564 ms,560 ms
2022-04-19 15:20:22,551 ms,651 ms,477 ms,525 ms
2022-04-19 15:20:24,527 ms,597 ms,458 ms,525 ms
2022-04-19 15:20:26,363 ms,506 ms,242 ms,342 ms
2022-04-19 15:20:28,369 ms,518 ms,247 ms,344 ms
2022-04-19 15:20:30,333 ms,397 ms,262 ms,341 ms
2022-04-19 15:20:32,304 ms,255 ms,320 ms,337 ms
2022-04-19 15:20:34,388 ms,464 ms,335 ms,364 ms
2022-04-19 15:20:36,404 ms,540 ms,326 ms,345 ms
2022-04-19 15:20:38,432 ms,632 ms,327 ms,338 ms
2022-04-19 15:20:40,424 ms,547 ms,267 ms,458 ms
2022-04-19 15:20:42,402 ms,491 ms,272 ms,443 ms
2022-04-19 15:20:44,303 ms,248 ms,241 ms,420 ms
2022-04-19 15:20:46,317 ms,287 ms,277 ms,385 ms
2022-04-19 15:20:48,413 ms,288 ms,603 ms,348 ms
2022-04-19 15:20:50,547 ms,290 ms,1.09 s,259 ms
2022-04-19 15:20:52,562 ms,466 ms,960 ms,261 ms
2022-04-19 15:20:54,542 ms,485 ms,871 ms,270 ms
2022-04-19 15:20:56,544 ms,452 ms,923 ms,257 ms
2022-04-19 15:20:58,369 ms,477 ms,375 ms,254 ms
2022-04-19 15:21:00,311 ms,356 ms,333 ms,245 ms
2022-04-19 15:21:02,300 ms,373 ms,285 ms,242 ms
2022-04-19 15:21:04,352 ms,528 ms,265 ms,264 ms
2022-04-19 15:21:06,395 ms,647 ms,274 ms,264 ms
2022-04-19 15:21:08,508 ms,590 ms,278 ms,656 ms
2022-04-19 15:21:10,569 ms,622 ms,285 ms,801 ms
2022-04-19 15:21:12,554 ms,649 ms,285 ms,730 ms
2022-04-19 15:21:14,465 ms,372 ms,299 ms,724 ms
2022-04-19 15:21:16,459 ms,372 ms,297 ms,709 ms
2022-04-19 15:21:18,381 ms,339 ms,272 ms,533 ms
2022-04-19 15:21:20,368 ms,255 ms,273 ms,576 ms
2022-04-19 15:21:22,418 ms,243 ms,378 ms,634 ms
2022-04-19 15:21:24,337 ms,243 ms,372 ms,395 ms
2022-04-19 15:21:26,428 ms,463 ms,389 ms,432 ms
2022-04-19 15:21:28,628 ms,1.08 s,375 ms,430 ms
2022-04-19 15:21:30,727 ms,1.09 s,412 ms,682 ms
2022-04-19 15:21:32,718 ms,935 ms,402 ms,819 ms
2022-04-19 15:21:34,734 ms,1.02 s,364 ms,819 ms
2022-04-19 15:21:36,674 ms,770 ms,429 ms,825 ms
2022-04-19 15:21:38,498 ms,299 ms,441 ms,753 ms
2022-04-19 15:21:40,439 ms,311 ms,410 ms,596 ms
2022-04-19 15:21:42,432 ms,321 ms,398 ms,576 ms
2022-04-19 15:21:44,378 ms,259 ms,328 ms,548 ms
2022-04-19 15:21:46,403 ms,318 ms,324 ms,568 ms
2022-04-19 15:21:48,363 ms,331 ms,223 ms,535 ms
2022-04-19 15:21:50,384 ms,453 ms,242 ms,457 ms
2022-04-19 15:21:52,363 ms,533 ms,246 ms,309 ms
2022-04-19 15:21:54,386 ms,561 ms,298 ms,299 ms
2022-04-19 15:21:56,392 ms,562 ms,313 ms,302 ms
2022-04-19 15:21:58,341 ms,390 ms,313 ms,320 ms
2022-04-19 15:22:00,357 ms,398 ms,314 ms,358 ms
2022-04-19 15:22:02,362 ms,304 ms,424 ms,357 ms
2022-04-19 15:22:04,396 ms,308 ms,487 ms,394 ms
2022-04-19 15:22:06,393 ms,317 ms,536 ms,326 ms
2022-04-19 15:22:08,494 ms,694 ms,460 ms,326 ms
2022-04-19 15:22:10,463 ms,662 ms,342 ms,384 ms
2022-04-19 15:22:12,436 ms,689 ms,241 ms,377 ms
2022-04-19 15:22:14,411 ms,615 ms,242 ms,374 ms
2022-04-19 15:22:16,424 ms,625 ms,249 ms,399 ms
2022-04-19 15:22:18,295 ms,340 ms,286 ms,258 ms
2022-04-19 15:22:20,337 ms,379 ms,365 ms,266 ms
2022-04-19 15:22:22,425 ms,629 ms,380 ms,266 ms
2022-04-19 15:22:24,487 ms,707 ms,379 ms,373 ms
2022-04-19 15:22:26,453 ms,586 ms,404 ms,369 ms
2022-04-19 15:22:28,428 ms,523 ms,404 ms,358 ms
2022-04-19 15:22:30,373 ms,431 ms,329 ms,359 ms
2022-04-19 15:22:32,354 ms,467 ms,319 ms,275 ms
2022-04-19 15:22:34,346 ms,451 ms,311 ms,277 ms
2022-04-19 15:22:36,314 ms,453 ms,244 ms,246 ms
2022-04-19 15:22:38,331 ms,470 ms,250 ms,274 ms
2022-04-19 15:22:40,350 ms,389 ms,248 ms,414 ms
2022-04-19 15:22:42,424 ms,368 ms,254 ms,650 ms
2022-04-19 15:22:44,430 ms,372 ms,266 ms,652 ms
2022-04-19 15:22:46,447 ms,358 ms,343 ms,639 ms
2022-04-19 15:22:48,512 ms,524 ms,409 ms,602 ms
2022-04-19 15:22:50,467 ms,466 ms,412 ms,523 ms
2022-04-19 15:22:52,397 ms,486 ms,440 ms,265 ms
2022-04-19 15:22:54,388 ms,488 ms,404 ms,274 ms
2022-04-19 15:22:56,295 ms,312 ms,326 ms,247 ms
2022-04-19 15:22:58,282 ms,321 ms,258 ms,265 ms
2022-04-19 15:23:00,284 ms,335 ms,254 ms,264 ms
2022-04-19 15:23:02,323 ms,338 ms,369 ms,261 ms
2022-04-19 15:23:04,399 ms,329 ms,345 ms,524 ms
2022-04-19 15:23:06,418 ms,316 ms,341 ms,597 ms
2022-04-19 15:23:08,374 ms,256 ms,329 ms,536 ms
2022-04-19 15:23:10,346 ms,256 ms,268 ms,514 ms
2022-04-19 15:23:12,351 ms,254 ms,412 ms,386 ms
2022-04-19 15:23:14,338 ms,272 ms,399 ms,344 ms
2022-04-19 15:23:16,391 ms,403 ms,457 ms,312 ms
2022-04-19 15:23:18,415 ms,385 ms,517 ms,341 ms
2022-04-19 15:23:20,469 ms,507 ms,541 ms,360 ms
2022-04-19 15:23:22,506 ms,632 ms,523 ms,364 ms
2022-04-19 15:23:24,483 ms,602 ms,480 ms,365 ms
2022-04-19 15:23:26,449 ms,582 ms,382 ms,384 ms
2022-04-19 15:23:28,423 ms,609 ms,317 ms,344 ms
2022-04-19 15:23:30,378 ms,489 ms,317 ms,328 ms
2022-04-19 15:23:32,326 ms,300 ms,292 ms,387 ms
2022-04-19 15:23:34,351 ms,392 ms,256 ms,407 ms
2022-04-19 15:23:36,343 ms,389 ms,257 ms,384 ms
2022-04-19 15:23:38,338 ms,387 ms,268 ms,360 ms
2022-04-19 15:23:40,356 ms,370 ms,349 ms,349 ms
2022-04-19 15:23:42,351 ms,385 ms,341 ms,327 ms
2022-04-19 15:23:44,474 ms,776 ms,352 ms,295 ms
2022-04-19 15:23:46,492 ms,772 ms,425 ms,280 ms
2022-04-19 15:23:48,545 ms,713 ms,482 ms,439 ms
2022-04-19 15:23:50,661 ms,767 ms,704 ms,511 ms
2022-04-19 15:23:52,513 ms,254 ms,703 ms,582 ms
2022-04-19 15:23:54,514 ms,261 ms,698 ms,582 ms
2022-04-19 15:23:56,403 ms,263 ms,629 ms,318 ms
2022-04-19 15:23:58,279 ms,283 ms,307 ms,248 ms
2022-04-19 15:24:00,281 ms,274 ms,311 ms,259 ms
2022-04-19 15:24:02,281 ms,276 ms,311 ms,255 ms
2022-04-19 15:24:04,359 ms,452 ms,315 ms,311 ms
2022-04-19 15:24:06,532 ms,425 ms,282 ms,889 ms
2022-04-19 15:24:08,569 ms,459 ms,279 ms,970 ms
2022-04-19 15:24:10,578 ms,503 ms,269 ms,960 ms
2022-04-19 15:24:12,488 ms,325 ms,262 ms,877 ms
2022-04-19 15:24:14,454 ms,382 ms,362 ms,618 ms
2022-04-19 15:24:16,399 ms,435 ms,369 ms,392 ms
2022-04-19 15:24:18,389 ms,414 ms,349 ms,405 ms
2022-04-19 15:24:20,376 ms,370 ms,321 ms,437 ms
2022-04-19 15:24:22,328 ms,404 ms,251 ms,330 ms
2022-04-19 15:24:24,320 ms,404 ms,240 ms,317 ms
2022-04-19 15:24:26,330 ms,373 ms,301 ms,315 ms
2022-04-19 15:24:28,355 ms,397 ms,418 ms,251 ms
2022-04-19 15:24:30,374 ms,315 ms,496 ms,311 ms
2022-04-19 15:24:32,404 ms,388 ms,453 ms,371 ms
2022-04-19 15:24:34,419 ms,436 ms,448 ms,373 ms
2022-04-19 15:24:36,400 ms,401 ms,419 ms,381 ms
2022-04-19 15:24:38,357 ms,399 ms,335 ms,339 ms
2022-04-19 15:24:40,350 ms,332 ms,353 ms,363 ms
2022-04-19 15:24:42,344 ms,369 ms,375 ms,289 ms
