Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-19 18:24:48,500 ms,0.665,56.1,11.1,1299,1.12,344.0,1.67,3.0,32.5
2022-04-19 18:24:50,523 ms,0.665,56.1,11.3,1299,1.12,344.0,4.0,3.0,32.5
2022-04-19 18:24:52,597 ms,0.665,56.1,11.3,1299,1.12,344.0,3.0,3.0,32.5
2022-04-19 18:24:54,654 ms,0.665,56.1,11.3,1299,1.12,344.0,3.67,3.0,32.5
2022-04-19 18:24:56,577 ms,0.665,56.1,11.6,1299,1.12,344.0,4.0,3.0,32.5
2022-04-19 18:24:58,540 ms,0.665,56.1,11.8,1299,1.12,344.0,3.0,3.0,32.5
2022-04-19 18:25:00,482 ms,0.665,57.8,11.6,1299,1.16,349.0,4.67,3.0,32.5
2022-04-19 18:25:02,367 ms,0.665,57.8,11.3,1299,1.16,349.0,3.33,3.0,32.5
2022-04-19 18:25:04,367 ms,0.665,57.8,11.4,1299,1.16,349.0,3.34,3.0,32.5
2022-04-19 18:25:06,390 ms,0.665,57.8,11.4,1299,1.16,349.0,4.67,3.0,32.5
2022-04-19 18:25:08,371 ms,0.665,57.8,11.1,1299,1.16,349.0,3.0,3.0,32.5
2022-04-19 18:25:10,368 ms,0.665,57.8,10.6,1299,1.16,349.0,1.67,3.0,32.5
2022-04-19 18:25:12,369 ms,0.665,57.8,10.4,1299,1.16,349.0,1.67,3.0,32.5
2022-04-19 18:25:14,293 ms,0.665,57.8,10.4,1299,1.16,349.0,3.33,3.0,32.5
2022-04-19 18:25:15,293 ms,1.24,66.1,10.4,974,1.32,314.0,3.33,3.0,24.4
2022-04-19 18:25:16,297 ms,1.24,66.1,10.4,974,1.32,314.0,2.0,3.0,24.4
2022-04-19 18:25:18,353 ms,1.24,66.1,10.6,974,1.32,314.0,5.33,3.0,24.4
2022-04-19 18:25:20,332 ms,1.24,66.1,10.3,974,1.32,314.0,3.33,3.0,24.4
2022-04-19 18:25:22,372 ms,1.24,66.1,10.2,974,1.32,314.0,4.0,3.0,24.4
2022-04-19 18:25:24,379 ms,1.24,66.1,9.83,974,1.32,314.0,3.33,3.0,24.4
2022-04-19 18:25:26,378 ms,1.24,66.1,9.66,974,1.32,314.0,2.67,3.0,24.4
